##NAMES=Phillipsite-K
##RRUFFID=R140774
##IDEAL CHEMISTRY=K_6_(Si_10_Al_6_)O_32_&#183;12H_2_O
##LOCALITY=Mt Vesuvius, Somma-Vesuvius Complex, Naples Province, Campania, Italy
##OWNER=RRUFF
##SOURCE=Ch. and H. Schäfer
##DESCRIPTION=Radial aggregates of colorless prismatic crystals, associated with calcite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R140774
104.2467, 0.0000000E+00
104.7288, 1.377289
105.2109, 0.5301820
105.6931, 0.3376460
106.1752, 0.1156010
106.6573, 0.9861760
107.1394, 2.595123
107.6215, 5.532806
108.1036, 10.67902
108.5858, 17.44711
109.0679, 22.64197
109.5500, 26.28711
110.0321, 28.50262
110.5142, 29.34708
110.9963, 27.05704
111.4785, 25.42584
111.9606, 24.97424
112.4427, 25.66110
112.9248, 26.62036
113.4069, 27.59534
113.8890, 28.84048
114.3712, 30.57681
114.8533, 33.07846
115.3354, 35.83575
115.8175, 38.70819
116.2996, 41.72641
116.7817, 44.80487
117.2639, 48.56049
117.7460, 52.23569
118.2281, 54.86526
118.7102, 55.37704
119.1923, 55.24991
119.6744, 55.32281
120.1566, 55.71500
120.6387, 56.12634
121.1208, 56.30685
121.6029, 56.35034
122.0850, 56.48178
122.5671, 56.29010
123.0493, 56.46408
123.5314, 57.66995
124.0135, 59.95197
124.4956, 63.29349
124.9777, 69.40814
125.4598, 77.19373
125.9420, 82.39407
126.4241, 80.36795
126.9062, 74.06528
127.3883, 68.83105
127.8704, 65.82059
128.3525, 64.27747
128.8347, 63.11816
129.3168, 62.35693
129.7989, 62.32812
130.2810, 64.00510
130.7631, 66.85144
131.2452, 68.65707
131.7274, 68.54260
132.2095, 67.18802
132.6916, 66.51309
133.1737, 66.62268
133.6558, 66.66754
134.1379, 65.55075
134.6201, 63.30020
135.1022, 61.42694
135.5843, 60.55038
136.0664, 60.50723
136.5485, 60.06689
137.0306, 59.27759
137.5128, 58.49789
137.9949, 57.61664
138.4770, 56.74716
138.9591, 56.09857
139.4412, 55.61386
139.9233, 55.25070
140.4055, 55.71173
140.8876, 57.52481
141.3697, 59.87183
141.8518, 61.10931
142.3339, 60.41760
142.8160, 59.06561
143.2982, 57.27887
143.7803, 54.94113
144.2624, 52.53607
144.7445, 49.55194
145.2266, 46.35077
145.7087, 44.74948
146.1909, 46.07193
146.6730, 47.30771
147.1551, 47.18008
147.6372, 44.28088
148.1193, 42.44400
148.6014, 42.47281
149.0836, 43.68588
149.5657, 43.67093
150.0478, 41.31158
150.5299, 38.63339
151.0120, 36.49554
151.4941, 35.16129
151.9763, 34.07071
152.4584, 33.26736
152.9405, 32.71289
153.4226, 32.20325
153.9047, 32.24472
154.3868, 31.98340
154.8690, 30.95328
155.3511, 27.50223
155.8332, 24.98087
156.3153, 24.67780
156.7974, 26.23883
157.2795, 26.76971
157.7617, 24.91324
158.2438, 22.19998
158.7259, 19.73648
159.2080, 17.99579
159.6901, 16.33414
160.1722, 14.41013
160.6544, 12.25912
161.1365, 10.56863
161.6186, 9.982788
162.1007, 9.794830
162.5828, 9.354919
163.0649, 7.959015
163.5471, 6.695984
164.0292, 6.339661
164.5113, 6.897949
164.9934, 7.047913
165.4755, 5.624146
165.9576, 3.529449
166.4398, 1.906036
166.9219, 1.502075
167.4040, 1.460449
167.8861, 1.305115
168.3682, 1.014343
168.8503, 0.5539550
169.3325, 0.4284970
169.8146, 1.561462
170.2967, 2.229187
170.7788, 1.818359
171.2609, 1.018036
171.7430, 0.4181520
172.2252, 6.2073000E-02
172.7073, 0.1752320
173.1894, 0.2279660
173.6715, 0.2279660
174.1536, 0.4748840
174.6357, 1.215363
175.1179, 2.226471
175.6000, 3.509766
176.0821, 5.227081
176.5642, 6.292450
177.0463, 5.147919
177.5284, 2.346741
178.0106, 0.3858950
178.4927, 2.252777
178.9748, 3.437347
179.4569, 4.147522
179.9390, 4.375824
180.4211, 4.283234
180.9033, 4.099915
181.3854, 3.781281
181.8675, 3.133881
182.3496, 1.455750
182.8317, 0.6131900
183.3138, 1.391541
183.7960, 0.4108280
184.2781, 1.080811
184.7602, 1.277802
185.2423, 0.2955930
185.7244, 0.9427800
186.2065, 2.001831
186.6887, 2.888397
187.1708, 3.663239
187.6529, 4.326233
188.1350, 4.805450
188.6171, 5.064148
189.0992, 5.139587
189.5814, 5.261414
190.0635, 5.600677
190.5456, 6.128174
191.0277, 6.657349
191.5098, 7.194824
191.9919, 7.705902
192.4741, 8.058289
192.9562, 8.266113
193.4383, 8.593933
193.9204, 9.066803
194.4025, 9.593414
194.8846, 10.39084
195.3668, 11.69934
195.8489, 13.23105
196.3310, 14.29617
196.8131, 14.87274
197.2952, 15.14615
197.7773, 15.13440
198.2595, 14.82706
198.7416, 14.62372
199.2237, 14.53934
199.7058, 14.63641
200.1879, 15.25601
200.6700, 16.52686
201.1522, 17.51483
201.6343, 17.41547
202.1164, 16.08386
202.5985, 15.33389
203.0806, 15.47623
203.5627, 16.29617
204.0449, 17.30176
204.5270, 18.68021
205.0091, 19.61292
205.4912, 19.31403
205.9733, 17.51886
206.4554, 16.09732
206.9376, 15.32855
207.4197, 15.05701
207.9018, 14.66974
208.3839, 14.11282
208.8660, 13.59412
209.3481, 13.24557
209.8303, 13.06253
210.3124, 13.12131
210.7945, 13.59372
211.2766, 14.29807
211.7587, 14.42316
212.2408, 13.78223
212.7230, 12.95996
213.2051, 12.31564
213.6872, 11.88089
214.1693, 11.46765
214.6514, 11.03296
215.1335, 10.59091
215.6157, 10.28650
216.0978, 10.16962
