##NAMES=Belendorffite
##RRUFFID=R070346
##IDEAL CHEMISTRY=Cu_7_Hg_6_
##LOCALITY=Landsberg Mountain (Moschellandsberg Mountain), Obermoschel, Rhineland-Palatinate, Germany
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Fragment of a yellowish-brown hexagonal crystal, co-type specimen
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070346
143.3943, 0.0000000E+00
143.8764, 4.206726
144.3585, 0.1238400
144.8407, 0.7802730
145.3228, 10.03546
145.8049, 21.76965
146.2870, 31.14282
146.7691, 40.37170
147.2512, 43.41931
147.7334, 37.27777
148.2155, 18.45447
148.6976, 5.757080
149.1797, 0.8868410
149.6618, 1.379639
150.1439, 4.377869
150.6261, 27.89941
151.1082, 47.25629
151.5903, 55.68762
152.0724, 47.14081
152.5545, 40.90198
153.0366, 29.60858
153.5188, 38.98285
154.0009, 45.02277
154.4830, 47.90668
154.9651, 38.10596
155.4472, 44.75153
155.9293, 44.84772
156.4115, 44.70038
156.8936, 53.73535
157.3757, 45.91278
157.8578, 54.84064
158.3399, 57.10480
158.8221, 62.44049
159.3042, 61.16888
159.7863, 61.95306
160.2684, 69.36957
160.7505, 73.12927
161.2326, 71.13574
161.7148, 70.06006
162.1969, 65.61835
162.6790, 58.75250
163.1611, 53.69678
163.6432, 55.15729
164.1253, 56.08789
164.6075, 50.71033
165.0896, 38.74585
165.5717, 30.20654
166.0538, 26.95020
166.5359, 36.35181
167.0180, 42.40924
167.5002, 45.32593
167.9823, 35.53058
168.4644, 42.15637
168.9465, 42.19598
169.4286, 41.96252
169.9107, 50.88434
170.3929, 42.92841
170.8750, 51.70117
171.3571, 53.79211
171.8392, 58.93256
172.3213, 57.44769
172.8034, 58.00134
173.2856, 65.18781
173.7677, 68.70441
174.2498, 66.45404
174.7319, 71.77570
175.2140, 63.55774
175.6961, 65.57849
176.1783, 63.70447
176.6604, 60.48004
177.1425, 58.69385
177.6246, 63.91766
178.1067, 74.98297
178.5888, 84.57812
179.0710, 86.22479
179.5531, 82.42737
180.0352, 78.29663
180.5173, 74.16650
180.9994, 71.23907
181.4815, 72.44360
181.9637, 77.66663
182.4458, 83.37164
182.9279, 86.87024
183.4100, 88.43018
183.8921, 89.04315
184.3742, 88.49927
184.8564, 87.40448
185.3385, 87.11993
185.8206, 87.64014
