##NAMES=Eckermannite
##RRUFFID=R060320
##IDEAL CHEMISTRY=NaNa_2_(Mg_4_Al)Si_8_O_22_(OH)_2_
##LOCALITY=Norra Karr Complex, near Granna, Ostergotsland, Sweden
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Parallel aggregate of blue elongated bladed crystals
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R060320
##MEASURED CHEMISTRY=(Na_2.50_K_0.30_[box]_0.20_)_Σ=3_(Mg_2.35_Fe^2+^_1.35_Al_1.20_Mn_0.10_)_Σ=5_Si_8.00_O_22_((OH)_1.18_F_0.82_)_Σ=2_; OH estimated by charge balance, dark material
##PIN_ID=M00815
##ORIENTATION=Laser parallel to a* (1 0 0). Fiducial mark perpendicular to laser is parallel to b [0 1 0]
136.6840, 0.0000000E+00
137.9110, 534.3320
139.1380, 37.55078
140.3650, 342.0000
141.5920, 239.2344
142.8190, 430.4180
144.0460, 5.335938
145.2720, 298.3164
146.4990, 709.8945
147.7250, 940.4648
148.9510, 1919.617
150.1770, 3054.930
151.4020, 4620.461
152.6280, 6374.797
153.8530, 8366.359
155.0790, 10199.50
156.3040, 11146.41
157.5290, 11857.94
158.7530, 11612.98
159.9780, 11790.45
161.2030, 10222.48
162.4270, 8194.910
163.6510, 6907.941
164.8750, 5795.277
166.0990, 5246.430
167.3230, 4511.012
168.5470, 4572.781
169.7700, 4408.852
170.9930, 4761.801
172.2160, 5673.152
173.4390, 6284.168
174.6620, 7373.508
175.8850, 8269.023
177.1080, 9635.102
178.3300, 10539.02
179.5520, 12582.00
180.7740, 13670.30
181.9960, 15345.36
183.2180, 16711.56
184.4400, 17751.24
185.6610, 18351.60
186.8820, 18583.14
188.1040, 18644.88
189.3250, 18438.28
190.5450, 17972.55
191.7660, 17422.76
192.9870, 17337.91
194.2070, 17623.08
195.4270, 18190.41
196.6480, 19122.00
197.8680, 20372.95
199.0870, 22220.33
200.3070, 24591.21
201.5270, 27505.60
202.7460, 30610.30
203.9650, 34168.06
205.1840, 37972.33
206.4030, 41990.43
207.6220, 45953.72
208.8400, 49137.30
210.0590, 52160.01
211.2770, 53857.41
212.4950, 55198.77
213.7130, 55279.44
214.9310, 54403.62
216.1490, 52425.82
217.3660, 49717.76
218.5840, 46793.18
219.8010, 43121.86
221.0180, 39720.34
222.2350, 36156.08
223.4520, 32690.35
224.6680, 29393.15
225.8850, 26931.44
227.1010, 24150.18
228.3170, 21867.34
229.5330, 19697.87
230.7490, 17899.71
231.9650, 16265.84
233.1810, 14559.23
234.3960, 13003.81
235.6110, 11814.58
236.8260, 10596.12
238.0410, 9675.559
239.2560, 8705.176
240.4710, 7748.359
241.6850, 6997.273
242.9000, 6247.875
244.1140, 5713.424
245.3280, 5079.117
246.5420, 4622.625
247.7550, 4569.887
248.9690, 3931.215
250.1820, 3697.463
251.3960, 3653.598
252.6090, 3283.631
253.8220, 2995.559
255.0350, 2611.381
256.2470, 2377.105
257.4600, 2608.730
258.6720, 2649.262
259.8840, 2329.551
261.0960, 2690.025
262.3080, 1726.260
263.5200, 1110.398
264.7320, 796.4375
265.9430, 462.3789
267.1540, 262.2188
268.3650, 263.9629
269.5760, 127.3887
270.7870, 1.892578
271.9980, 456.6152
273.2080, 70.96875
274.4190, 136.8262
275.6290, 265.8574
276.8390, 566.3691
278.0490, 612.1738
279.2590, 590.5449
280.4680, 474.8770
281.6780, 568.2051
282.8870, 671.3555
284.0960, 639.3965
285.3050, 564.7695
286.5140, 455.5391
287.7230, 406.2539
288.9310, 603.1660
290.1400, 461.5508
291.3480, 762.4883
292.5560, 538.2012
293.7640, 464.7422
294.9720, 446.1816
296.1790, 259.5938
297.3870, 149.9863
298.5940, 72.61719
299.8010, 296.2344
301.0080, 520.8574
302.2150, 1177.969
303.4220, 1302.967
304.6290, 2749.777
305.8350, 2475.424
307.0410, 3253.793
308.2470, 3926.227
309.4530, 5996.023
310.6590, 5902.383
311.8650, 6943.373
313.0700, 7512.020
314.2750, 8706.152
315.4810, 9180.605
316.6860, 9697.691
317.8900, 9792.145
319.0950, 9711.848
320.3000, 9445.324
321.5040, 9139.943
322.7080, 8641.531
323.9120, 8121.975
325.1160, 7600.820
326.3200, 7106.781
327.5240, 6410.188
328.7270, 5416.924
329.9310, 4981.793
331.1340, 4374.527
332.3370, 3650.824
333.5400, 3272.867
334.7420, 2971.680
335.9450, 2681.312
337.1470, 2379.988
338.3500, 1966.168
339.5520, 1863.439
340.7540, 1521.621
341.9550, 1314.727
343.1570, 1222.709
344.3590, 1140.625
345.5600, 1468.531
346.7610, 1387.307
347.9620, 1331.846
349.1630, 1372.863
350.3640, 1316.639
351.5640, 1411.781
352.7650, 1654.912
353.9650, 1494.090
355.1650, 1941.312
356.3650, 1822.564
357.5650, 1994.029
358.7640, 2178.664
359.9640, 2159.305
361.1630, 2614.168
362.3620, 2616.496
363.5610, 3043.604
364.7600, 2998.637
365.9590, 3152.639
367.1580, 3402.604
368.3560, 3726.527
369.5540, 4039.408
370.7520, 4160.238
371.9500, 4361.016
373.1480, 4665.740
374.3460, 4708.404
375.5430, 5213.012
376.7410, 5452.557
377.9380, 5797.039
379.1350, 6427.459
380.3320, 6511.814
381.5280, 7171.102
382.7250, 7742.324
383.9210, 8329.471
385.1180, 8829.520
386.3140, 9568.477
387.5100, 9748.344
388.7050, 11040.12
389.9010, 11362.80
391.0960, 11929.40
392.2920, 12260.93
393.4870, 12912.39
394.6820, 13356.78
395.8770, 13742.09
397.0720, 14124.33
398.2660, 14695.50
399.4610, 14903.59
400.6550, 15357.62
401.8490, 15300.57
403.0430, 16212.44
404.2370, 16744.25
405.4300, 17215.97
406.6240, 18151.64
407.8170, 18420.36
409.0100, 19193.68
410.2030, 19835.18
411.3960, 20914.33
412.5890, 21649.49
413.7810, 22728.66
414.9740, 24202.98
416.1660, 25157.13
417.3580, 26343.58
418.5500, 27479.27
419.7420, 28113.90
420.9330, 28379.71
422.1250, 27733.68
423.3160, 26598.06
424.5070, 24804.78
425.6980, 22552.73
426.8890, 20186.14
428.0800, 17299.50
429.2700, 14746.54
430.4610, 12222.30
431.6510, 9718.977
432.8410, 8239.090
434.0310, 6437.869
435.2210, 5401.527
436.4100, 4237.010
437.6000, 3560.850
438.7890, 2724.594
439.9780, 2181.016
441.1670, 1683.566
442.3560, 1363.740
443.5450, 1167.516
444.7330, 812.2480
445.9210, 824.6348
447.1100, 607.3730
448.2980, 618.7148
449.4860, 411.9180
450.6730, 358.9805
451.8610, 233.9004
453.0480, 92.66992
454.2360, 115.2871
455.4230, 139.7520
456.6100, 218.0684
457.7970, 335.2402
458.9830, 369.2773
460.1700, 219.1875
461.3560, 323.9570
462.5420, 529.5938
463.7280, 400.1133
464.9140, 689.5059
466.1000, 574.7812
467.2850, 527.9414
468.4710, 648.9805
469.6560, 561.9043
470.8410, 668.6875
472.0260, 915.9434
473.2110, 864.4414
474.3960, 1048.428
475.5800, 1208.535
476.7640, 1144.881
