##NAMES=Gehlenite
##RRUFFID=R060841
##IDEAL CHEMISTRY=Ca_2_Al(SiAl)O_7_
##LOCALITY=Monzoni, Tyrol, Italy
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Brown rectangular prism
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R060841
##MEASURED CHEMISTRY=(Ca_1.92_Na_0.07_K_0.01_)_Σ=2_(Al_0.62_Mg_0.25_Fe^2+^_0.13_)_Σ=1_(Si_1.46_Al_0.54_)O_7_ ; = lighter phase, and the darker phase is calcite
##PIN_ID=L00662
##ORIENTATION=Laser parallel to a* (1 0 0). Fiducial mark perpendicular to laser is parallel to c [0 0 1]
174.0950, 14432.00
175.3240, 14525.00
176.5520, 14443.00
177.7810, 14944.00
179.0090, 15072.00
180.2370, 15066.00
181.4640, 14933.00
182.6920, 15281.00
183.9190, 15221.00
185.1460, 15556.00
186.3730, 15900.00
187.6000, 16032.00
188.8270, 16226.00
190.0530, 16368.00
191.2800, 16504.00
192.5060, 16959.00
193.7320, 17057.00
194.9580, 17306.00
196.1830, 17247.00
197.4090, 17388.89
198.6340, 17461.00
199.8590, 17483.00
201.0840, 17566.00
202.3090, 17539.00
203.5340, 17557.00
204.7580, 17273.00
205.9820, 17248.31
207.2060, 17167.00
208.4300, 17052.00
209.6540, 17071.00
210.8780, 17108.00
212.1010, 17172.00
213.3240, 17432.00
214.5470, 17552.00
215.7700, 17632.00
216.9930, 17599.00
218.2150, 17921.00
219.4380, 18109.00
220.6600, 18418.00
221.8820, 18464.00
223.1040, 18942.00
224.3260, 18902.00
225.5470, 19297.00
226.7680, 19440.00
227.9900, 19738.00
229.2110, 19691.00
230.4310, 19968.00
231.6520, 20138.00
232.8720, 20277.00
234.0930, 20056.00
235.3130, 20014.00
236.5330, 20259.00
237.7530, 19899.00
238.9720, 19850.00
240.1920, 19660.00
241.4110, 19537.00
242.6300, 19379.55
243.8490, 19199.74
245.0680, 19011.00
246.2860, 18868.00
247.5040, 18649.00
248.7230, 18529.00
249.9410, 18388.00
251.1590, 18056.00
252.3760, 18122.00
253.5940, 18094.00
254.8110, 17737.00
256.0280, 17609.00
257.2450, 17651.00
258.4620, 17635.00
259.6790, 17885.00
260.8950, 17544.01
262.1120, 17433.00
263.3280, 17085.00
264.5440, 16814.00
265.7600, 16902.00
266.9750, 16755.00
268.1910, 16767.00
269.4060, 16595.00
270.6210, 16501.00
271.8360, 16276.00
273.0510, 16417.00
274.2650, 16295.00
275.4800, 16451.00
276.6940, 16341.00
277.9080, 16324.00
279.1220, 16396.00
280.3360, 16392.00
281.5490, 16388.00
282.7630, 16325.00
283.9760, 16409.00
285.1890, 16414.00
286.4020, 16441.00
287.6150, 16736.00
288.8270, 16630.00
290.0400, 16664.00
291.2520, 17000.00
292.4640, 16881.00
293.6760, 17022.00
294.8870, 17028.00
296.0990, 17062.00
297.3100, 16981.00
298.5210, 17243.00
299.7320, 17106.00
300.9430, 17122.00
302.1540, 17149.00
303.3640, 16999.00
304.5750, 16918.00
305.7850, 16737.00
306.9950, 16863.00
308.2050, 16743.00
309.4140, 16695.00
310.6240, 16690.00
311.8330, 16535.00
313.0420, 16374.00
314.2510, 16217.00
315.4600, 16119.61
316.6680, 16046.95
317.8770, 15957.00
319.0850, 15982.00
320.2930, 15947.00
321.5010, 15941.00
322.7090, 15937.48
323.9160, 15908.00
325.1240, 15879.00
326.3310, 15844.00
327.5380, 15725.00
328.7450, 15696.00
329.9520, 15694.00
331.1580, 15854.00
332.3650, 15614.00
333.5710, 15746.00
334.7770, 15663.00
335.9830, 15868.00
337.1880, 15755.00
338.3940, 15644.00
339.5990, 15526.00
340.8040, 15529.00
342.0090, 15705.00
343.2140, 15529.00
344.4190, 15595.00
345.6230, 15431.00
346.8280, 15592.00
348.0320, 15613.00
349.2360, 15551.00
350.4400, 15583.00
351.6430, 15486.84
352.8470, 15291.00
354.0500, 15283.00
355.2530, 15244.00
356.4560, 15110.00
357.6590, 15051.00
358.8620, 14859.00
360.0640, 14613.00
361.2660, 14655.00
362.4680, 14516.00
363.6700, 14496.00
364.8720, 14339.00
366.0740, 14254.00
367.2750, 14059.00
368.4760, 13756.22
369.6770, 13833.94
370.8780, 13860.87
372.0790, 13839.76
373.2800, 13626.67
374.4800, 13661.50
375.6800, 13596.99
376.8800, 13528.41
378.0800, 13598.14
379.2800, 13413.00
380.4790, 13480.57
381.6790, 13447.24
382.8780, 13275.00
384.0770, 13344.00
385.2760, 13216.00
386.4750, 13365.00
387.6730, 13301.00
388.8720, 13039.00
390.0700, 13241.00
391.2680, 13169.00
392.4660, 13114.00
393.6630, 13162.00
394.8610, 13244.00
396.0580, 13311.00
397.2550, 13134.00
398.4520, 13200.00
399.6490, 13106.00
400.8460, 13191.00
402.0420, 13058.00
403.2390, 13129.96
404.4350, 13339.00
405.6310, 13227.00
406.8270, 13322.00
408.0220, 13371.00
409.2180, 13319.00
410.4130, 13670.00
411.6080, 13499.00
412.8030, 13741.00
413.9980, 13760.00
415.1920, 13964.00
416.3870, 14167.00
417.5810, 14375.00
418.7750, 14547.00
419.9690, 14937.00
421.1630, 15098.00
422.3570, 15111.00
423.5500, 15160.00
424.7430, 15550.00
425.9360, 15727.00
427.1290, 15951.00
428.3220, 15875.00
429.5150, 16037.00
430.7070, 15962.00
431.8990, 15946.00
433.0910, 16087.00
434.2830, 15932.46
435.4750, 15994.00
436.6670, 15787.00
437.8580, 15685.00
439.0490, 15704.00
440.2400, 15484.00
441.4310, 15650.00
442.6220, 15573.00
443.8130, 15422.00
445.0030, 15399.00
446.1930, 15461.00
447.3830, 15538.00
448.5730, 15468.00
449.7630, 15617.00
450.9520, 15590.00
452.1420, 15564.00
453.3310, 15761.00
454.5200, 15844.00
455.7090, 16061.00
456.8980, 15990.00
458.0860, 16094.00
459.2740, 16444.00
460.4630, 16350.00
461.6510, 16582.00
462.8380, 16735.00
464.0260, 16682.00
465.2140, 16949.00
466.4010, 16996.00
467.5880, 17035.00
468.7750, 17418.00
469.9620, 17385.78
471.1490, 17478.00
472.3350, 17556.00
473.5220, 17575.00
474.7080, 17662.00
475.8940, 17816.00
477.0800, 17707.00
478.2650, 17945.00
479.4510, 17878.00
480.6360, 17795.00
481.8210, 17744.00
483.0060, 17668.00
484.1910, 17612.00
485.3760, 17507.00
486.5600, 17342.00
487.7440, 17344.00
488.9290, 17054.00
490.1130, 16920.00
491.2960, 16845.00
492.4800, 16614.00
493.6630, 16556.00
494.8470, 16591.00
496.0300, 16249.00
497.2130, 16336.00
498.3960, 16318.41
499.5780, 16410.00
500.7610, 16462.00
501.9430, 16471.00
503.1250, 16604.00
504.3070, 16689.00
505.4890, 16743.00
506.6710, 16823.00
507.8520, 16928.00
509.0330, 17029.00
510.2140, 17160.00
511.3950, 17417.00
512.5760, 17664.00
513.7570, 17632.00
514.9370, 17811.00
516.1170, 18165.00
517.2980, 18065.00
518.4780, 18265.00
519.6570, 18280.00
520.8370, 18126.00
522.0160, 18214.00
523.1960, 18055.00
524.3750, 18386.00
525.5540, 18120.00
526.7320, 18186.00
527.9110, 17950.00
529.0890, 17942.00
530.2680, 17821.00
531.4460, 17562.00
532.6240, 17603.00
533.8010, 17290.00
534.9790, 17496.00
536.1560, 17349.00
537.3340, 17247.00
538.5110, 17310.00
539.6880, 17151.00
540.8650, 17174.00
542.0410, 17159.00
543.2180, 16972.00
544.3940, 16934.00
545.5700, 16814.47
546.7460, 16796.00
547.9220, 16612.00
549.0970, 16595.00
550.2730, 16553.00
551.4480, 16518.00
552.6230, 16548.00
553.7980, 16429.00
554.9730, 16337.00
556.1470, 16270.00
557.3210, 16355.00
558.4960, 16378.00
559.6700, 16513.00
560.8440, 16689.00
562.0170, 16555.00
563.1910, 16793.00
564.3640, 16868.00
565.5380, 16821.00
566.7110, 16969.00
567.8840, 16909.00
569.0560, 16700.00
570.2290, 16750.00
571.4010, 16740.00
572.5740, 16722.00
573.7460, 16945.00
574.9180, 16783.00
576.0890, 16860.00
577.2610, 16991.00
578.4320, 16968.00
579.6040, 17108.00
580.7750, 17444.00
581.9450, 17455.00
583.1160, 17834.00
584.2870, 18081.58
585.4570, 18428.00
586.6270, 18744.00
587.7980, 19324.00
588.9670, 19789.00
590.1370, 20255.00
591.3070, 21056.00
592.4760, 21516.00
593.6450, 22558.00
594.8140, 23501.00
595.9830, 24368.00
597.1520, 25621.00
598.3210, 26944.00
599.4890, 28405.00
600.6570, 29928.00
601.8250, 31668.00
602.9930, 33716.00
604.1610, 35823.00
605.3290, 38143.00
606.4960, 40881.00
607.6630, 43374.00
608.8300, 45689.00
609.9970, 48352.00
611.1640, 50515.00
612.3300, 52588.00
613.4970, 53819.00
614.6630, 55065.00
615.8290, 55673.00
616.9950, 55069.00
618.1610, 54732.00
619.3260, 53398.00
620.4920, 51886.00
621.6570, 49762.00
622.8220, 48036.00
623.9870, 46722.00
625.1520, 44858.00
626.3160, 43216.00
627.4810, 42006.00
628.6450, 40554.00
629.8090, 39619.00
630.9730, 38624.00
632.1370, 37811.00
633.3000, 36582.00
634.4640, 36044.00
635.6270, 34466.00
636.7900, 33697.00
637.9530, 32813.00
639.1160, 31815.00
640.2780, 31133.00
641.4410, 30273.00
642.6030, 30190.00
643.7650, 29876.00
644.9270, 30197.00
646.0890, 31470.00
647.2500, 32338.00
648.4120, 33358.00
649.5730, 35427.00
650.7340, 37320.00
651.8950, 39708.00
653.0560, 42086.00
654.2160, 44312.00
655.3770, 45989.00
656.5370, 47203.00
657.6970, 48126.00
658.8570, 48196.00
660.0170, 47768.00
661.1760, 46589.00
662.3360, 45225.00
663.4950, 43587.00
664.6540, 41939.00
665.8130, 39847.00
666.9720, 37848.00
668.1310, 36146.00
669.2890, 34306.00
670.4470, 32583.00
671.6050, 31092.00
672.7630, 29522.00
673.9210, 28102.00
675.0790, 26959.00
676.2360, 25999.00
677.3930, 25007.00
678.5510, 24220.00
679.7080, 23372.00
680.8640, 22458.00
682.0210, 21843.00
683.1770, 21188.00
684.3340, 20794.00
685.4900, 20317.00
686.6460, 19761.00
687.8020, 19307.00
688.9570, 18985.00
690.1130, 18426.00
691.2680, 18178.00
692.4230, 17943.00
693.5780, 17716.00
694.7330, 17471.30
695.8880, 17104.00
697.0420, 17019.00
698.1960, 16896.00
699.3510, 16733.00
700.5040, 16351.00
701.6580, 16237.00
702.8120, 16039.00
703.9650, 15911.00
705.1190, 15956.00
706.2720, 15682.00
707.4250, 15576.00
708.5780, 15291.00
709.7300, 15062.00
710.8830, 14878.00
712.0350, 14565.00
713.1870, 14484.00
714.3390, 14443.00
715.4910, 14147.00
716.6430, 14156.00
717.7940, 13989.00
718.9460, 14072.00
720.0970, 13973.00
721.2480, 14112.00
722.3990, 14135.00
723.5500, 14285.00
724.7000, 14676.00
725.8500, 14622.00
727.0010, 14729.00
728.1510, 14872.00
729.3010, 14833.00
730.4500, 14862.00
731.6000, 14841.00
732.7490, 14661.00
733.8980, 14552.00
735.0470, 14310.00
736.1960, 14014.00
737.3450, 13897.00
738.4940, 13694.00
739.6420, 13228.00
740.7900, 13044.00
741.9380, 12792.00
743.0860, 12661.00
744.2340, 12440.59
745.3810, 12282.96
746.5290, 12046.00
747.6760, 11984.00
748.8230, 11785.00
749.9700, 11650.00
751.1170, 11543.00
752.2630, 11472.00
753.4100, 11560.00
754.5560, 11473.00
755.7020, 11073.00
756.8480, 11194.00
757.9940, 11075.00
759.1390, 11351.00
760.2850, 11277.00
761.4300, 10936.00
762.5750, 11030.00
763.7200, 10992.00
764.8650, 10715.00
766.0100, 10792.00
767.1540, 10843.00
768.2980, 10820.00
769.4420, 10801.00
770.5860, 10795.00
771.7300, 10785.00
772.8740, 10621.00
774.0170, 10744.00
775.1610, 10703.00
776.3040, 10779.00
777.4470, 10977.00
778.5900, 10897.00
779.7320, 10994.00
780.8750, 11147.00
782.0170, 11179.00
783.1590, 11253.00
784.3010, 11333.00
785.4430, 11421.00
786.5850, 11611.00
787.7260, 11648.00
788.8680, 11928.00
790.0090, 12060.00
791.1500, 12394.00
792.2910, 12598.00
793.4310, 12861.35
794.5720, 13015.00
795.7120, 13370.00
796.8520, 13459.00
797.9920, 13615.00
799.1320, 13746.00
800.2720, 14080.00
801.4120, 14058.00
802.5510, 14295.00
803.6900, 14283.00
804.8290, 14156.00
805.9680, 14332.00
807.1070, 14368.00
808.2450, 14168.00
809.3840, 14355.00
810.5220, 14386.00
811.6600, 14315.00
812.7980, 14313.00
813.9360, 14557.00
815.0730, 14538.00
816.2110, 14641.00
817.3480, 14583.00
818.4850, 14618.00
819.6220, 14699.83
820.7590, 14767.08
821.8960, 14867.00
823.0320, 14986.00
824.1680, 15087.01
825.3040, 15151.17
826.4400, 15306.11
827.5760, 15418.00
828.7120, 15596.00
829.8470, 15798.00
830.9830, 15960.00
832.1180, 15891.65
833.2530, 16278.44
834.3880, 16614.45
835.5220, 16902.17
836.6570, 16998.16
837.7910, 17341.81
838.9250, 17586.11
840.0590, 18040.00
841.1930, 18154.00
842.3270, 18500.00
843.4600, 18710.00
844.5940, 18937.00
845.7270, 19142.00
846.8600, 19592.00
847.9930, 19650.00
849.1250, 19680.00
850.2580, 20088.00
851.3900, 20227.00
852.5230, 20536.00
853.6550, 20608.17
854.7870, 20719.00
855.9180, 20790.00
857.0500, 20875.00
858.1810, 21010.70
859.3130, 21091.24
860.4440, 21279.00
861.5750, 21390.00
862.7050, 21515.00
863.8360, 21635.57
864.9660, 21911.00
866.0970, 21767.00
867.2270, 21845.00
868.3570, 21756.00
869.4870, 21438.00
870.6160, 21517.00
871.7460, 21314.00
872.8750, 21271.00
874.0040, 21246.00
875.1330, 21271.05
876.2620, 21257.00
877.3910, 21492.00
878.5190, 21450.00
879.6470, 21621.00
880.7760, 22053.00
881.9040, 22452.00
883.0310, 23048.00
884.1590, 23783.00
885.2870, 24563.00
886.4140, 25103.00
887.5410, 25638.00
888.6680, 26584.00
889.7950, 27275.00
890.9220, 27962.00
892.0480, 28702.00
893.1750, 29364.00
894.3010, 30316.00
895.4270, 31153.00
896.5530, 32403.00
897.6790, 33427.00
898.8040, 34320.00
899.9300, 35897.00
901.0550, 37123.00
902.1800, 37945.00
903.3050, 38928.00
904.4300, 39492.00
905.5540, 39921.00
906.6790, 39975.00
907.8030, 39836.00
908.9270, 39359.00
910.0510, 38998.00
911.1750, 38348.71
912.2990, 37633.75
913.4220, 36890.00
914.5450, 36046.00
915.6690, 35357.00
916.7920, 34720.00
917.9140, 34191.00
919.0370, 33754.00
920.1600, 33528.00
921.2820, 33387.00
922.4040, 33272.00
923.5260, 33382.00
924.6480, 33619.00
925.7700, 33596.00
926.8910, 33703.00
928.0130, 33427.00
929.1340, 32959.00
930.2550, 32553.00
931.3760, 31772.00
932.4970, 31244.00
933.6170, 30295.00
934.7380, 29233.00
935.8580, 28266.00
936.9780, 27462.00
938.0980, 26516.00
939.2180, 25540.00
940.3370, 24653.00
941.4570, 23955.00
942.5760, 23284.00
943.6950, 22747.00
944.8140, 22110.00
945.9330, 21606.00
947.0520, 21448.00
948.1700, 21204.00
949.2890, 20686.00
950.4070, 20593.00
951.5250, 20305.00
952.6430, 20272.00
953.7600, 19882.00
954.8780, 19675.00
955.9950, 19413.00
957.1120, 19247.00
958.2290, 19004.00
959.3460, 18617.00
960.4630, 18262.00
961.5800, 17984.00
962.6960, 17524.00
963.8120, 17356.00
964.9280, 16901.00
966.0440, 16669.00
967.1600, 16587.00
968.2760, 16250.00
969.3910, 16171.00
970.5060, 15925.00
971.6210, 15839.00
972.7360, 15593.00
973.8510, 15489.00
974.9660, 15442.00
976.0800, 15360.00
977.1950, 15201.00
978.3090, 15157.00
979.4230, 15131.00
980.5370, 14901.00
981.6500, 14898.00
982.7640, 14810.00
983.8770, 14741.00
984.9900, 14605.00
986.1030, 14417.00
987.2160, 14276.00
988.3290, 14239.00
989.4420, 14063.00
990.5540, 14082.00
991.6660, 13870.00
992.7780, 13719.00
993.8900, 13450.00
995.0020, 13388.57
996.1140, 13408.00
997.2250, 13213.00
998.3360, 13262.00
999.4470, 13123.00
1000.558, 12996.00
1001.669, 12889.00
1002.780, 12812.00
1003.890, 12709.00
1005.001, 12613.00
1006.111, 12568.00
1007.221, 12398.00
1008.331, 12508.00
1009.440, 12285.00
1010.550, 12386.00
1011.659, 12237.00
1012.768, 12105.00
1013.877, 12108.00
1014.986, 12132.00
1016.095, 11952.00
1017.204, 12109.00
1018.312, 12019.00
1019.420, 11909.00
1020.528, 12013.00
1021.636, 11794.00
1022.744, 11938.00
1023.852, 11884.00
1024.959, 11827.00
1026.066, 11681.00
1027.173, 11807.00
1028.280, 11711.00
1029.387, 11559.00
1030.494, 11690.00
1031.600, 11529.00
1032.707, 11650.00
1033.813, 11514.00
1034.919, 11562.00
1036.025, 11491.00
1037.130, 11547.00
1038.236, 11571.00
1039.341, 11471.00
1040.446, 11443.00
1041.552, 11309.00
1042.656, 11279.00
1043.761, 11340.00
1044.866, 11272.00
1045.970, 11212.00
1047.074, 11115.00
1048.179, 11087.00
1049.282, 11065.00
1050.386, 10957.00
1051.490, 10993.00
1052.593, 11039.00
1053.697, 11006.00
1054.800, 10929.00
1055.903, 10898.39
1057.006, 10839.00
1058.108, 10793.00
1059.211, 10737.39
1060.313, 10678.00
1061.415, 10640.00
1062.517, 10572.00
1063.619, 10570.00
1064.721, 10485.00
1065.823, 10519.00
1066.924, 10382.00
1068.025, 10363.00
1069.126, 10269.00
1070.227, 10227.95
1071.328, 10156.00
1072.429, 10180.00
1073.529, 10189.00
1074.629, 10204.00
1075.729, 10210.00
1076.829, 10071.00
1077.929, 10107.00
1079.029, 10060.00
1080.128, 10124.00
1081.228, 10107.00
1082.327, 10000.00
1083.426, 10015.00
1084.525, 9971.000
1085.623, 9936.000
1086.722, 9931.000
1087.820, 9874.000
1088.919, 9885.000
1090.017, 9818.000
1091.115, 9774.000
1092.212, 9745.000
1093.310, 9730.000
1094.407, 9796.000
1095.505, 9800.000
1096.602, 9690.000
1097.699, 9793.000
1098.795, 9663.000
1099.892, 9548.000
1100.989, 9680.000
1102.085, 9550.353
1103.181, 9633.000
1104.277, 9476.000
1105.373, 9679.000
1106.469, 9653.000
1107.564, 9630.000
1108.660, 9551.000
1109.755, 9578.286
1110.850, 9588.000
1111.945, 9600.000
1113.040, 9594.000
1114.134, 9590.000
1115.229, 9637.000
1116.323, 9635.000
1117.417, 9714.000
1118.511, 9710.624
1119.605, 9625.000
1120.698, 9713.000
1121.792, 9687.000
1122.885, 9647.000
1123.978, 9738.000
1125.071, 9584.000
1126.164, 9583.000
1127.257, 9715.000
1128.349, 9679.000
1129.442, 9632.000
1130.534, 9600.000
1131.626, 9644.000
1132.718, 9476.000
1133.810, 9515.000
1134.901, 9611.000
1135.993, 9525.000
1137.084, 9619.000
1138.175, 9491.000
1139.266, 9600.000
1140.357, 9603.000
1141.448, 9563.000
1142.538, 9540.000
1143.628, 9487.000
1144.719, 9635.000
1145.809, 9534.000
1146.898, 9434.000
1147.988, 9643.000
1149.078, 9643.000
1150.167, 9583.000
1151.256, 9557.000
1152.345, 9570.000
1153.434, 9590.000
1154.523, 9508.000
1155.612, 9623.000
1156.700, 9712.000
1157.788, 9597.000
1158.877, 9600.000
1159.964, 9605.000
1161.052, 9563.000
1162.140, 9552.000
1163.227, 9477.000
1164.315, 9526.000
1165.402, 9584.000
1166.489, 9538.000
1167.576, 9558.000
1168.663, 9556.000
1169.749, 9546.224
1170.836, 9607.000
1171.922, 9548.000
1173.008, 9580.000
1174.094, 9586.000
1175.180, 9461.000
1176.265, 9597.000
1177.351, 9367.000
1178.436, 9530.000
1179.521, 9570.000
1180.606, 9508.000
1181.691, 9532.000
1182.776, 9519.000
1183.860, 9490.000
1184.944, 9497.000
