##NAMES=Aluminium
##RRUFFID=R070230
##IDEAL CHEMISTRY=Al
##LOCALITY=Mud Volcano, Bulla Apsheren penninsula, Caspian Sea, Qobustan (Gobustan; Kobustan) Rayonu, Azerbaijan
##OWNER=Michael Scott
##SOURCE=Michael Scott
##DESCRIPTION=Metallic gray blebs in matrix embedded in epoxy, no Raman activity because of crystal symmetry
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070230
129.6975, 2055.673
130.1796, 2168.631
130.6617, 2288.407
131.1439, 2397.284
131.6260, 2486.254
132.1081, 2553.536
132.5902, 2584.494
133.0723, 2543.229
133.5544, 2499.932
134.0366, 2462.126
134.5187, 2431.682
135.0008, 2410.852
135.4829, 2402.718
135.9650, 2406.129
136.4471, 2395.011
136.9293, 2354.035
137.4114, 2315.726
137.8935, 2284.866
138.3756, 2264.077
138.8577, 2257.017
139.3398, 2267.279
139.8220, 2295.148
140.3041, 2326.708
140.7862, 2357.864
141.2683, 2395.399
141.7504, 2441.331
142.2325, 2495.880
142.7147, 2559.484
143.1968, 2634.271
143.6789, 2720.303
144.1610, 2802.738
144.6431, 2882.673
145.1252, 2958.325
145.6074, 3026.036
146.0895, 3087.023
146.5716, 3149.513
147.0537, 3222.932
147.5358, 3306.394
148.0179, 3371.344
148.5001, 3417.827
148.9822, 3446.421
149.4643, 3450.815
149.9464, 3432.126
150.4285, 3411.340
150.9106, 3408.091
151.3928, 3419.778
151.8749, 3417.355
152.3570, 3397.244
152.8391, 3363.496
153.3212, 3314.663
153.8033, 3250.207
154.2855, 3185.847
154.7676, 3133.739
155.2497, 3092.106
155.7318, 3053.871
156.2139, 3013.845
156.6960, 2978.757
157.1782, 2958.765
157.6603, 2956.028
158.1424, 2957.092
158.6245, 2951.917
159.1066, 2942.656
159.5887, 2934.306
160.0709, 2926.085
160.5530, 2920.237
161.0351, 2921.558
161.5172, 2931.943
161.9993, 2942.745
162.4814, 2948.738
162.9636, 2950.775
163.4457, 2949.441
163.9278, 2938.793
164.4099, 2926.556
164.8920, 2930.542
165.3741, 2958.218
165.8563, 2980.972
166.3384, 2974.988
166.8205, 2952.696
167.3026, 2934.457
167.7847, 2931.186
168.2668, 2936.265
168.7490, 2934.339
169.2311, 2921.613
169.7132, 2910.494
170.1953, 2910.193
170.6774, 2915.303
171.1595, 2917.563
171.6417, 2913.610
172.1238, 2904.222
172.6059, 2889.810
173.0880, 2865.870
173.5701, 2846.197
174.0522, 2839.625
174.5344, 2840.023
175.0165, 2838.693
175.4986, 2830.488
175.9807, 2818.362
176.4628, 2811.158
176.9449, 2813.121
177.4271, 2812.042
177.9092, 2799.487
178.3913, 2782.404
178.8734, 2771.031
179.3555, 2772.315
179.8376, 2780.586
180.3197, 2777.454
180.8019, 2752.669
181.2840, 2734.833
181.7661, 2736.326
182.2482, 2747.696
182.7303, 2757.654
183.2124, 2760.827
183.6946, 2758.984
184.1767, 2757.177
184.6588, 2756.269
185.1409, 2753.743
185.6230, 2747.535
186.1051, 2740.141
186.5873, 2734.867
187.0694, 2733.671
187.5515, 2734.271
188.0336, 2729.891
188.5157, 2715.766
188.9978, 2705.017
189.4800, 2700.729
189.9621, 2700.561
190.4442, 2703.201
190.9263, 2708.470
191.4084, 2713.854
191.8905, 2712.248
192.3727, 2696.476
192.8548, 2686.648
193.3369, 2688.316
193.8190, 2695.407
194.3011, 2703.436
194.7832, 2710.717
195.2654, 2715.567
195.7475, 2713.060
196.2296, 2695.156
196.7117, 2685.268
197.1938, 2692.583
197.6759, 2704.429
198.1581, 2709.519
198.6402, 2704.123
199.1223, 2693.175
199.6044, 2686.042
200.0865, 2685.965
200.5686, 2683.181
201.0508, 2672.629
201.5329, 2662.060
202.0150, 2658.833
202.4971, 2664.535
202.9792, 2673.363
203.4613, 2675.427
203.9435, 2666.140
204.4256, 2660.377
204.9077, 2662.825
205.3898, 2665.721
205.8719, 2663.957
206.3540, 2656.478
206.8362, 2645.476
207.3183, 2632.949
207.8004, 2616.579
208.2825, 2605.135
208.7646, 2604.227
209.2467, 2603.343
209.7289, 2594.206
210.2110, 2577.201
210.6931, 2560.552
211.1752, 2554.543
211.6573, 2562.587
212.1395, 2569.014
212.6216, 2572.285
