##NAMES=Diamond
##RRUFFID=X070001
##IDEAL CHEMISTRY=C
##LOCALITY=Synthetic, DeBeers Element6
##OWNER=
##SOURCE=Eric Van Valkenburg
##DESCRIPTION=DeBeers Element6 type IIA, colorless cut stone
##STATUS=The identification of this mineral has been determined only by Raman spectroscopy
##URL=rruff.info/X070001
149.6995, 128.0646
150.1816, 126.0867
150.6638, 125.2268
151.1459, 125.8756
151.6280, 127.6587
152.1101, 129.7563
152.5922, 132.9651
153.0743, 135.8696
153.5565, 137.8914
154.0386, 138.5294
154.5207, 138.8396
155.0028, 138.6130
155.4849, 138.0217
155.9670, 137.9322
156.4492, 139.5900
156.9313, 141.2115
157.4134, 141.5990
157.8955, 138.6157
158.3776, 136.1489
158.8597, 135.3059
159.3419, 136.1012
159.8240, 137.7283
160.3061, 141.4464
160.7882, 145.3567
161.2703, 147.4325
161.7524, 144.6404
162.2346, 141.6787
162.7167, 141.0591
163.1988, 143.3334
163.6809, 145.8713
164.1630, 148.1130
164.6451, 149.7328
165.1273, 150.1813
165.6094, 147.3087
166.0915, 144.2729
166.5736, 143.7277
167.0557, 146.9521
167.5378, 150.5698
168.0200, 152.3240
168.5021, 152.6382
168.9842, 152.6973
169.4663, 153.3472
169.9484, 154.0246
170.4305, 154.0570
170.9127, 152.9182
171.3948, 151.5523
171.8769, 150.5420
172.3590, 149.9304
172.8411, 150.0937
173.3232, 152.4365
173.8054, 155.5982
174.2875, 157.2349
174.7696, 154.8745
175.2517, 151.6459
175.7338, 152.0013
176.2159, 155.9697
176.6981, 160.1057
177.1802, 161.3949
177.6623, 160.4729
178.1444, 158.9938
178.6265, 156.8936
179.1086, 154.8675
179.5907, 154.1927
180.0729, 154.9967
180.5550, 156.6188
181.0371, 158.8658
181.5192, 161.5031
182.0013, 163.5670
182.4834, 164.4037
182.9656, 164.2658
183.4477, 163.6986
183.9298, 162.6179
184.4119, 161.4273
184.8940, 160.4359
185.3761, 159.6914
185.8583, 159.6730
186.3404, 161.4725
186.8225, 164.5395
187.3046, 166.0511
187.7867, 165.1606
188.2688, 163.0819
188.7510, 162.4782
189.2331, 163.3864
189.7152, 164.5132
190.1973, 164.5176
190.6794, 163.5706
191.1615, 163.5941
191.6437, 165.2622
192.1258, 168.0752
192.6079, 170.5207
193.0900, 172.6863
193.5721, 174.0527
194.0542, 173.8896
194.5364, 172.1759
195.0185, 170.1792
195.5006, 167.8363
195.9827, 165.3748
196.4648, 164.8591
196.9469, 166.7500
197.4291, 169.2238
197.9112, 169.9587
198.3933, 168.7878
198.8754, 167.6017
199.3575, 167.4019
199.8396, 168.1673
200.3218, 167.0011
200.8039, 163.1399
201.2860, 158.7020
201.7681, 157.1651
202.2502, 158.9557
202.7323, 161.5838
203.2145, 164.2580
203.6966, 167.0510
204.1787, 169.4056
204.6608, 171.5305
205.1429, 172.9728
205.6250, 172.1336
206.1072, 168.0109
206.5893, 164.8069
207.0714, 165.2729
207.5535, 170.4630
208.0356, 173.9209
208.5177, 174.6297
208.9999, 173.7328
209.4820, 175.1716
209.9641, 180.3163
210.4462, 184.5690
210.9283, 184.5769
211.4104, 178.8297
211.8926, 174.1282
212.3747, 170.8838
212.8568, 169.2085
213.3389, 170.1909
213.8210, 175.4318
214.3031, 180.5143
214.7853, 181.8368
215.2674, 177.6687
215.7495, 174.6684
216.2316, 173.9570
216.7137, 175.3668
217.1958, 177.1756
217.6780, 180.0887
218.1601, 182.3973
218.6422, 182.2268
219.1243, 178.1933
219.6064, 175.0291
220.0885, 173.8702
220.5707, 174.7357
221.0528, 175.1033
221.5349, 174.4583
222.0170, 173.8914
222.4991, 174.6900
222.9812, 177.6180
223.4634, 180.3697
223.9455, 182.5679
224.4276, 184.2315
224.9097, 184.9517
225.3918, 184.3574
225.8739, 183.1471
226.3561, 182.2106
226.8382, 181.6498
227.3203, 181.1627
227.8024, 180.6776
228.2845, 180.1904
228.7666, 179.5938
229.2488, 178.2831
229.7309, 177.2607
230.2130, 178.3301
230.6951, 183.0473
231.1772, 187.3199
231.6593, 189.8304
232.1415, 190.2489
232.6236, 189.9839
233.1057, 188.6745
233.5878, 186.8690
234.0699, 185.5609
234.5520, 184.8145
235.0342, 184.4829
235.5163, 184.3760
235.9984, 183.9751
236.4805, 185.3664
236.9626, 190.2213
237.4447, 196.3590
237.9269, 198.4810
238.4090, 194.3279
238.8911, 189.4608
239.3732, 186.1542
239.8553, 184.7087
240.3374, 184.2203
240.8196, 185.3022
241.3017, 187.2435
241.7838, 187.9388
242.2659, 186.6841
242.7480, 185.1652
243.2301, 184.0736
243.7123, 183.0651
244.1944, 183.3372
244.6765, 185.7708
245.1586, 189.4877
245.6407, 191.2221
246.1228, 189.6949
246.6050, 187.9256
247.0871, 187.6599
247.5692, 189.8530
248.0513, 191.4970
248.5334, 192.2101
249.0155, 192.2252
249.4977, 192.6973
249.9798, 194.0234
250.4619, 195.2613
250.9440, 195.9350
251.4261, 196.2688
251.9082, 195.3766
252.3904, 192.2883
252.8725, 187.6697
253.3546, 185.8542
253.8367, 187.9380
254.3188, 191.1701
254.8009, 193.7988
255.2831, 195.6192
255.7652, 197.3290
256.2473, 199.3538
256.7294, 201.4217
257.2115, 201.5993
257.6936, 198.8767
258.1758, 195.7467
258.6579, 193.9346
259.1400, 193.6604
259.6221, 194.2668
260.1042, 196.3120
260.5863, 199.3893
261.0685, 200.0791
261.5506, 197.2015
262.0327, 193.8365
262.5148, 192.5484
262.9969, 194.0591
263.4790, 195.3966
263.9612, 195.8032
264.4433, 195.5330
264.9254, 197.3736
265.4075, 203.0753
265.8896, 207.6228
266.3717, 205.4877
266.8539, 193.5489
267.3360, 186.0918
267.8181, 186.6369
268.3002, 194.0465
268.7823, 199.1882
269.2644, 201.5905
269.7466, 202.7718
270.2287, 204.2500
270.7108, 206.4207
271.1929, 207.0074
271.6750, 204.8586
272.1571, 200.6355
272.6393, 199.0608
273.1214, 201.0329
273.6035, 203.5340
274.0856, 203.2212
274.5677, 199.2926
275.0498, 197.9914
275.5320, 201.8896
276.0141, 209.5116
276.4962, 211.5713
276.9783, 206.5796
277.4604, 200.6337
