##NAMES=Esseneite
##RRUFFID=R061123
##IDEAL CHEMISTRY=CaFe^3+^AlSiO_6_
##LOCALITY=Durham Ranch, South of Gillette, Sublette County, Wyoming, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Reddish-brown prismatic crystals associated with gehlenite, R070478
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R061123
148.7093, 1516.015
149.1914, 1519.312
149.6735, 1525.903
150.1557, 1538.223
150.6378, 1565.243
151.1199, 1587.178
151.6020, 1600.100
152.0841, 1605.937
152.5662, 1616.507
153.0484, 1631.344
153.5305, 1651.455
154.0126, 1677.456
154.4947, 1722.072
154.9768, 1759.587
155.4589, 1780.788
155.9411, 1785.453
156.4232, 1797.079
156.9053, 1819.993
157.3874, 1843.636
157.8695, 1863.992
158.3516, 1903.872
158.8338, 1934.204
159.3159, 1941.826
159.7980, 1921.280
160.2801, 1905.960
160.7622, 1907.321
161.2443, 1918.810
161.7265, 1931.307
162.2086, 1946.764
162.6907, 1959.103
163.1728, 1963.933
163.6549, 1957.161
164.1370, 1952.195
164.6192, 1956.615
165.1013, 1967.021
165.5834, 1975.493
166.0655, 1976.069
166.5476, 1974.517
167.0297, 1974.850
167.5119, 1975.819
167.9940, 1981.719
168.4761, 1998.965
168.9582, 2024.795
169.4403, 2047.512
169.9224, 2058.342
170.4046, 2063.120
170.8867, 2068.381
171.3688, 2076.216
171.8509, 2085.199
172.3330, 2093.667
172.8151, 2101.772
173.2973, 2111.485
173.7794, 2124.815
174.2615, 2140.710
174.7436, 2157.173
175.2257, 2178.999
175.7078, 2198.519
176.1900, 2204.248
176.6721, 2195.099
177.1542, 2185.510
177.6363, 2191.855
178.1184, 2208.478
178.6005, 2220.850
179.0827, 2213.370
179.5648, 2199.385
180.0469, 2203.268
180.5290, 2229.271
181.0111, 2261.325
181.4932, 2284.486
181.9754, 2299.151
182.4575, 2306.565
182.9396, 2297.177
183.4217, 2281.093
183.9038, 2285.814
184.3859, 2319.157
184.8681, 2364.577
185.3502, 2398.613
185.8323, 2421.965
186.3144, 2439.407
186.7965, 2454.399
187.2786, 2466.359
187.7608, 2471.777
188.2429, 2465.221
188.7250, 2456.624
189.2071, 2470.290
189.6892, 2506.587
190.1713, 2546.678
190.6535, 2573.899
191.1356, 2589.855
191.6177, 2606.894
192.0998, 2630.823
192.5819, 2656.962
193.0640, 2667.312
193.5462, 2659.887
194.0283, 2649.537
194.5104, 2651.355
194.9925, 2665.242
195.4746, 2681.086
195.9567, 2697.763
196.4389, 2714.422
196.9210, 2725.942
197.4031, 2732.468
197.8852, 2733.776
198.3673, 2725.588
198.8494, 2706.535
199.3316, 2695.089
199.8137, 2700.808
200.2958, 2723.210
200.7779, 2740.677
201.2600, 2753.334
201.7421, 2761.093
202.2243, 2761.953
202.7064, 2754.275
203.1885, 2748.146
203.6706, 2750.054
204.1527, 2761.581
204.6348, 2763.766
205.1170, 2753.672
205.5991, 2737.524
206.0812, 2727.376
206.5633, 2723.994
207.0454, 2723.715
207.5275, 2726.594
208.0097, 2734.359
208.4918, 2735.167
208.9739, 2727.038
209.4560, 2712.882
209.9381, 2699.893
210.4202, 2688.192
210.9024, 2677.451
211.3845, 2667.993
211.8666, 2660.617
212.3487, 2650.296
212.8308, 2632.822
213.3129, 2613.083
213.7951, 2613.424
214.2772, 2643.494
214.7593, 2674.535
215.2414, 2686.155
215.7235, 2672.908
216.2056, 2657.656
216.6878, 2641.543
217.1699, 2625.299
217.6520, 2615.323
218.1341, 2614.771
218.6162, 2615.378
219.0983, 2609.337
219.5805, 2591.105
220.0626, 2581.031
220.5447, 2586.298
221.0268, 2604.898
221.5089, 2610.475
221.9910, 2600.113
222.4732, 2580.511
222.9553, 2555.261
223.4374, 2518.962
223.9195, 2490.020
224.4016, 2472.674
224.8837, 2466.972
225.3659, 2465.982
225.8480, 2474.325
226.3301, 2482.343
226.8122, 2479.779
227.2943, 2462.938
227.7764, 2442.865
228.2586, 2420.908
228.7407, 2396.689
229.2228, 2374.739
229.7049, 2354.987
230.1870, 2337.400
230.6691, 2322.243
231.1513, 2309.647
231.6334, 2299.180
232.1155, 2291.218
232.5976, 2286.140
233.0797, 2281.057
233.5618, 2276.943
234.0440, 2272.214
234.5261, 2263.860
235.0082, 2247.511
235.4903, 2235.698
235.9724, 2234.271
236.4545, 2247.931
236.9367, 2249.768
237.4188, 2233.063
237.9009, 2209.320
238.3830, 2196.380
238.8651, 2199.860
239.3472, 2204.511
239.8294, 2204.858
240.3115, 2198.225
240.7936, 2198.011
241.2757, 2209.426
241.7578, 2224.161
242.2399, 2226.370
242.7221, 2205.844
243.2042, 2189.355
243.6863, 2187.961
244.1684, 2209.236
244.6505, 2220.384
245.1326, 2215.986
245.6148, 2204.158
246.0969, 2201.574
246.5790, 2216.730
247.0611, 2227.260
247.5432, 2222.479
248.0253, 2192.431
248.5075, 2176.193
248.9896, 2177.098
249.4717, 2190.348
249.9538, 2207.858
250.4359, 2236.830
250.9180, 2258.242
251.4002, 2262.675
251.8823, 2242.152
252.3644, 2226.690
252.8465, 2214.829
253.3286, 2208.674
253.8107, 2214.252
254.2929, 2238.080
254.7750, 2262.296
255.2571, 2280.734
255.7392, 2295.498
256.2213, 2296.654
256.7035, 2275.144
257.1856, 2243.805
257.6677, 2235.441
258.1498, 2261.491
258.6319, 2289.135
259.1140, 2302.198
259.5962, 2293.723
260.0783, 2291.826
260.5604, 2299.664
261.0425, 2312.937
261.5246, 2319.517
262.0067, 2315.790
262.4889, 2312.999
262.9710, 2318.356
263.4531, 2337.213
263.9352, 2344.290
264.4173, 2332.492
264.8994, 2311.918
265.3816, 2308.389
265.8637, 2325.757
266.3458, 2350.917
266.8279, 2382.193
267.3100, 2425.426
267.7921, 2447.593
268.2743, 2440.263
268.7564, 2415.865
269.2385, 2407.137
269.7206, 2419.234
270.2027, 2431.802
270.6848, 2431.483
271.1670, 2413.613
271.6491, 2409.739
272.1312, 2424.725
272.6133, 2451.155
273.0954, 2474.354
273.5775, 2494.972
274.0597, 2508.868
274.5418, 2510.255
275.0239, 2496.431
275.5060, 2493.871
275.9881, 2507.490
276.4702, 2528.639
276.9524, 2536.617
277.4345, 2527.730
277.9166, 2522.786
278.3987, 2535.536
278.8808, 2567.179
279.3629, 2593.096
279.8451, 2612.449
280.3272, 2625.356
280.8093, 2628.760
281.2914, 2621.014
281.7735, 2615.616
282.2556, 2621.712
282.7378, 2638.913
283.2199, 2649.778
283.7020, 2651.375
284.1841, 2650.240
284.6662, 2660.822
285.1483, 2684.015
285.6305, 2702.695
286.1126, 2703.293
286.5947, 2688.652
287.0768, 2686.734
287.5589, 2700.983
288.0410, 2722.717
288.5232, 2738.957
289.0053, 2749.776
289.4874, 2759.338
