##NAMES=Ferronigerite-2N1S
##RRUFFID=R120083
##IDEAL CHEMISTRY=(Al,Fe^3+^,Zn^2+^)_2_(Al,Sn^4+^)_6_O_11_(OH)
##LOCALITY=Seixoso quarry, Lixa, Portugal
##OWNER=RRUFF
##SOURCE=Robert Jenkins
##DESCRIPTION=Dark reddish-brown hexagonal tablets, frozen in matrix
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120083
9.112140e+001, 0.000000e+000
9.160352e+001, 1.168200e+003
9.208563e+001, 1.142917e+003
9.256775e+001, 1.140048e+003
9.304987e+001, 1.172536e+003
9.353198e+001, 1.210089e+003
9.401410e+001, 1.232116e+003
9.449622e+001, 1.237486e+003
9.497833e+001, 1.229736e+003
9.546045e+001, 1.211365e+003
9.594257e+001, 1.182320e+003
9.642468e+001, 1.156385e+003
9.690680e+001, 1.134021e+003
9.738892e+001, 1.114712e+003
9.787103e+001, 1.098432e+003
9.835315e+001, 1.083706e+003
9.883527e+001, 1.069623e+003
9.931738e+001, 1.058432e+003
9.979950e+001, 1.051210e+003
1.002816e+002, 1.044681e+003
1.007637e+002, 1.037387e+003
1.012458e+002, 1.030983e+003
1.017280e+002, 1.027135e+003
1.022101e+002, 1.026217e+003
1.026922e+002, 1.027180e+003
1.031743e+002, 1.028725e+003
1.036564e+002, 1.030696e+003
1.041385e+002, 1.032905e+003
1.046207e+002, 1.035125e+003
1.051028e+002, 1.037424e+003
1.055849e+002, 1.040224e+003
1.060670e+002, 1.043875e+003
1.065491e+002, 1.047429e+003
1.070313e+002, 1.049986e+003
1.075134e+002, 1.051432e+003
1.079955e+002, 1.052177e+003
1.084776e+002, 1.052054e+003
1.089597e+002, 1.050437e+003
1.094418e+002, 1.050599e+003
1.099240e+002, 1.054736e+003
1.104061e+002, 1.060191e+003
1.108882e+002, 1.065033e+003
1.113703e+002, 1.068493e+003
1.118524e+002, 1.071153e+003
1.123345e+002, 1.074614e+003
1.128167e+002, 1.079810e+003
1.132988e+002, 1.084610e+003
1.137809e+002, 1.087956e+003
1.142630e+002, 1.090879e+003
1.147451e+002, 1.095055e+003
1.152272e+002, 1.101679e+003
1.157094e+002, 1.110530e+003
1.161915e+002, 1.116212e+003
1.166736e+002, 1.116070e+003
1.171557e+002, 1.115943e+003
1.176378e+002, 1.117329e+003
1.181199e+002, 1.120340e+003
1.186021e+002, 1.124752e+003
1.190842e+002, 1.130503e+003
1.195663e+002, 1.137754e+003
1.200484e+002, 1.145283e+003
1.205305e+002, 1.152910e+003
1.210126e+002, 1.160916e+003
1.214948e+002, 1.169742e+003
1.219769e+002, 1.179522e+003
1.224590e+002, 1.189364e+003
1.229411e+002, 1.198303e+003
1.234232e+002, 1.206519e+003
1.239053e+002, 1.214313e+003
1.243875e+002, 1.221125e+003
1.248696e+002, 1.227529e+003
1.253517e+002, 1.235417e+003
1.258338e+002, 1.246656e+003
1.263159e+002, 1.257022e+003
1.267980e+002, 1.264410e+003
1.272802e+002, 1.268842e+003
1.277623e+002, 1.270453e+003
1.282444e+002, 1.269316e+003
1.287265e+002, 1.265426e+003
1.292086e+002, 1.258934e+003
1.296907e+002, 1.247075e+003
1.301729e+002, 1.234477e+003
1.306550e+002, 1.222549e+003
1.311371e+002, 1.211770e+003
1.316192e+002, 1.202467e+003
1.321013e+002, 1.195213e+003
1.325834e+002, 1.190671e+003
1.330656e+002, 1.187037e+003
1.335477e+002, 1.184297e+003
1.340298e+002, 1.182247e+003
1.345119e+002, 1.180773e+003
1.349940e+002, 1.179833e+003
1.354761e+002, 1.179392e+003
1.359583e+002, 1.179400e+003
1.364404e+002, 1.179746e+003
1.369225e+002, 1.180750e+003
1.374046e+002, 1.182917e+003
1.378867e+002, 1.185672e+003
1.383688e+002, 1.188231e+003
1.388510e+002, 1.190274e+003
1.393331e+002, 1.191834e+003
1.398152e+002, 1.192994e+003
1.402973e+002, 1.193760e+003
1.407794e+002, 1.194249e+003
1.412615e+002, 1.194108e+003
1.417437e+002, 1.193559e+003
1.422258e+002, 1.193704e+003
1.427079e+002, 1.195567e+003
1.431900e+002, 1.198281e+003
1.436721e+002, 1.199942e+003
1.441542e+002, 1.199919e+003
1.446364e+002, 1.199493e+003
