##NAMES=Fizelyite
##RRUFFID=R090068
##IDEAL CHEMISTRY=Ag^1+^_5_Pb^2+^_14_Sb^3+^_21_S^2-^_48_
##LOCALITY=Herja(Kisbanya), Romania
##OWNER=RRUFF
##SOURCE=Mark N. Feinglos
##DESCRIPTION=Dark grey metallic striated prismatic crystals, associated with galena and sphalerite.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R090068
92.07813, 1.849245
92.56024, 1.938794
93.04236, 1.801287
93.52448, 1.523284
94.00659, 1.424711
94.48871, 1.665676
94.97083, 2.220215
95.45294, 3.137890
95.93506, 4.569764
96.41718, 6.061566
96.89929, 6.817817
97.38141, 6.827260
97.86353, 6.455569
98.34564, 5.767571
98.82776, 4.799169
99.30988, 4.143796
99.79199, 4.040917
100.2741, 4.272788
100.7562, 3.800934
101.2383, 2.309048
101.7205, 0.9915984
102.2026, 1.038210
102.6847, 2.779213
103.1668, 4.682937
103.6489, 6.804924
104.1310, 9.171680
104.6132, 9.548759
105.0953, 6.710031
105.5774, 3.034364
106.0595, 1.620581
106.5416, 4.026047
107.0237, 6.294519
107.5059, 7.411634
107.9880, 7.022601
108.4701, 6.540688
108.9522, 5.777883
109.4343, 4.956705
109.9164, 4.467034
110.3986, 4.336784
110.8807, 4.525949
111.3628, 5.066071
111.8449, 6.319281
112.3270, 7.327879
112.8091, 8.417723
113.2913, 9.277411
113.7734, 9.062703
114.2555, 5.989726
114.7376, 2.880817
115.2197, 1.282997
115.7018, 2.940807
116.1840, 4.433302
116.6661, 4.724489
117.1482, 4.019908
117.6303, 3.390727
118.1124, 3.421025
118.5945, 3.608474
119.0767, 3.522213
119.5588, 1.862150
120.0409, 0.8481854
120.5230, 2.230793
121.0051, 5.871596
121.4872, 9.106745
121.9694, 10.06959
122.4515, 9.672523
122.9336, 9.177629
123.4157, 9.181103
123.8978, 9.279224
124.3799, 8.893432
124.8621, 7.935700
125.3442, 7.351943
125.8263, 8.212719
126.3084, 10.11159
126.7905, 12.06246
127.2726, 13.63344
127.7548, 14.91562
128.2369, 15.97517
128.7190, 16.76635
129.2011, 17.53559
129.6832, 18.72982
130.1653, 20.25042
130.6474, 21.57280
131.1296, 22.41833
131.6117, 22.81404
132.0938, 22.70291
132.5759, 21.79636
133.0580, 20.86776
133.5401, 21.71228
134.0223, 24.37795
134.5044, 27.08292
134.9865, 28.50553
135.4686, 28.68685
135.9507, 28.87151
136.4328, 29.21526
136.9150, 29.69823
137.3971, 30.12298
137.8792, 30.37033
138.3613, 31.01763
138.8434, 32.75397
139.3255, 35.80090
139.8077, 38.58370
140.2898, 40.82920
140.7719, 42.56308
141.2540, 44.22868
141.7361, 45.87020
142.2182, 47.34110
142.7004, 48.45033
143.1825, 49.03216
143.6646, 49.63375
144.1467, 50.33433
144.6288, 51.14116
145.1109, 52.10448
145.5931, 53.41244
146.0752, 54.73351
146.5573, 55.70417
147.0394, 56.28367
147.5215, 56.55037
148.0036, 56.41491
148.4858, 55.68965
148.9679, 55.28811
149.4500, 55.04803
149.9321, 55.18359
150.4142, 56.01743
150.8963, 58.43042
151.3785, 60.73944
151.8606, 62.42885
152.3427, 63.23363
152.8248, 64.12286
153.3069, 65.05489
153.7890, 66.09335
154.2712, 67.15369
154.7533, 68.63403
155.2354, 69.72606
155.7175, 69.93027
156.1996, 68.46199
156.6817, 67.55569
157.1639, 68.00198
157.6460, 69.20477
158.1281, 69.87842
158.6102, 69.18243
159.0923, 68.31588
159.5744, 67.88675
160.0566, 68.27661
160.5387, 68.65199
161.0208, 68.84652
161.5029, 68.86687
161.9850, 68.72405
162.4671, 67.74928
162.9493, 67.00889
163.4314, 67.32700
163.9135, 70.27627
164.3956, 72.54231
164.8777, 72.12553
165.3598, 69.63706
165.8420, 67.59418
166.3241, 67.72823
166.8062, 68.58465
167.2883, 68.83296
167.7704, 67.23067
168.2525, 65.80070
168.7346, 66.05029
169.2168, 67.73588
169.6989, 69.32304
170.1810, 69.76295
170.6631, 69.62991
171.1452, 69.60686
171.6273, 69.96886
172.1095, 70.48853
172.5916, 71.14451
173.0737, 71.90417
173.5558, 72.36275
174.0379, 72.26144
174.5201, 71.66626
175.0022, 70.67009
175.4843, 68.75682
175.9664, 66.75132
176.4485, 65.86784
176.9306, 66.07016
177.4128, 66.30135
177.8949, 65.10570
178.3770, 63.23933
178.8591, 62.35759
179.3412, 63.75112
179.8233, 66.31840
180.3055, 68.59304
180.7876, 70.62685
181.2697, 71.92615
181.7518, 71.61424
182.2339, 70.09160
182.7160, 68.63376
183.1982, 67.65746
183.6803, 67.14232
184.1624, 67.27505
184.6445, 68.15193
185.1266, 69.00237
185.6087, 68.63108
186.0909, 67.29888
186.5730, 66.41478
187.0551, 67.09685
187.5372, 68.75760
188.0193, 69.29240
188.5014, 68.51011
188.9836, 67.31244
189.4657, 66.80638
189.9478, 66.94511
190.4299, 67.16424
190.9120, 67.18424
191.3941, 67.05378
191.8763, 67.07567
192.3584, 67.29460
192.8405, 67.54562
193.3226, 67.48195
193.8047, 67.10124
194.2868, 66.96217
194.7690, 67.59871
195.2511, 68.90977
195.7332, 69.40110
196.2153, 68.84572
196.6974, 67.91373
197.1795, 67.84067
197.6617, 68.69671
198.1438, 69.48160
198.6259, 69.59426
199.1080, 69.03783
199.5901, 68.90385
200.0722, 69.32358
200.5544, 70.00142
201.0365, 70.29501
201.5186, 70.10601
202.0007, 70.16029
202.4828, 71.05759
202.9649, 72.91680
203.4471, 73.88747
203.9292, 73.74547
204.4113, 72.94658
204.8934, 72.38509
205.3755, 72.13721
205.8576, 71.83675
206.3398, 71.10564
206.8219, 69.74215
207.3040, 69.40121
207.7861, 70.39988
208.2682, 72.14198
208.7503, 73.46119
209.2325, 74.33704
209.7146, 74.82674
210.1967, 74.87495
210.6788, 74.37984
211.1609, 73.83544
211.6430, 72.93880
212.1252, 72.22611
212.6073, 73.20586
213.0894, 76.62013
213.5715, 79.77569
214.0536, 81.35989
214.5357, 80.94274
215.0179, 80.53758
215.5000, 80.10408
215.9821, 79.71902
216.4642, 79.58238
216.9463, 79.79012
217.4284, 80.04076
217.9105, 80.15084
218.3927, 79.95966
218.8748, 80.20186
219.3569, 81.11395
219.8390, 82.32654
220.3211, 83.00042
220.8032, 82.87259
221.2854, 82.70177
221.7675, 82.83494
222.2496, 83.43671
222.7317, 83.82339
223.2138, 83.94961
223.6959, 83.88243
224.1781, 83.73093
224.6602, 83.36597
225.1423, 83.14510
225.6244, 83.22695
226.1065, 83.68657
226.5886, 84.24718
227.0708, 85.03178
227.5529, 85.86105
228.0350, 86.38204
228.5171, 86.59306
228.9992, 86.50584
229.4813, 86.06230
229.9635, 85.08575
230.4456, 84.30622
230.9277, 83.75328
231.4098, 83.38945
231.8919, 83.14945
232.3740, 83.07924
232.8562, 83.06408
233.3383, 83.08126
233.8204, 83.16839
234.3025, 83.21094
234.7846, 83.45454
235.2667, 83.52451
235.7489, 82.52595
236.2310, 79.20646
236.7131, 76.87461
237.1952, 77.01969
237.6773, 80.76519
238.1594, 82.81408
238.6416, 82.54712
239.1237, 80.96627
239.6058, 79.62539
240.0879, 78.46870
240.5700, 77.62589
241.0521, 77.22929
241.5343, 77.45364
242.0164, 77.32023
242.4985, 76.50457
242.9806, 75.55128
243.4627, 75.30349
243.9448, 76.17651
244.4270, 77.05427
244.9091, 77.71581
245.3912, 78.22569
245.8733, 78.11350
246.3554, 77.08987
246.8375, 75.67287
247.3197, 74.49894
247.8018, 73.48877
248.2839, 72.87053
248.7660, 72.77428
249.2481, 73.27048
249.7302, 73.74231
250.2124, 74.16102
250.6945, 74.58750
251.1766, 75.14073
251.6587, 76.02669
252.1408, 76.64331
252.6229, 76.85991
253.1051, 76.66653
253.5872, 76.11324
254.0693, 74.82040
254.5514, 73.57661
255.0335, 73.26927
255.5156, 74.34970
255.9978, 75.38232
256.4799, 76.08867
256.9620, 76.47276
257.4441, 76.84850
257.9262, 77.19770
258.4083, 77.55935
258.8904, 77.98673
259.3726, 78.56503
259.8547, 78.99082
260.3368, 79.12463
260.8189, 79.01345
261.3010, 79.19288
261.7831, 79.74754
262.2653, 80.45673
262.7474, 81.10206
263.2295, 81.56361
263.7116, 82.40145
264.1937, 84.06763
264.6758, 86.22139
265.1580, 86.80381
265.6401, 85.15661
266.1222, 83.16672
266.6043, 82.12865
267.0864, 82.24846
267.5685, 82.64233
268.0507, 83.56931
268.5328, 84.63197
269.0149, 83.99582
269.4970, 80.76474
269.9791, 77.94803
270.4612, 77.68136
270.9434, 80.74646
271.4255, 82.58562
271.9076, 82.65138
272.3897, 81.50632
272.8718, 80.54593
273.3539, 79.77645
273.8361, 79.16629
274.3182, 78.73913
274.8003, 78.52390
275.2824, 78.23856
275.7645, 77.80525
276.2466, 77.37949
276.7288, 77.33018
277.2109, 77.73610
277.6930, 78.12566
278.1751, 78.21249
278.6572, 77.97121
279.1393, 78.05998
279.6215, 78.64597
280.1036, 79.24426
280.5857, 78.93753
281.0678, 77.61584
281.5499, 76.48980
282.0320, 76.23742
282.5142, 76.75906
282.9963, 76.52024
283.4784, 75.27340
283.9605, 74.02367
284.4426, 74.41436
284.9247, 76.49061
285.4069, 77.85511
285.8890, 77.41162
286.3711, 75.58239
286.8532, 74.46651
287.3353, 74.15259
287.8174, 74.05589
288.2996, 73.43924
288.7817, 72.37287
289.2638, 71.74187
289.7459, 71.97610
290.2280, 72.71000
290.7101, 72.97874
291.1923, 72.77419
291.6744, 72.22401
292.1565, 71.08814
292.6386, 69.56827
293.1207, 68.77595
293.6028, 69.21596
294.0850, 70.18351
294.5671, 70.38014
295.0492, 69.83256
295.5313, 68.99458
296.0134, 68.08917
296.4955, 67.14550
296.9777, 66.18373
297.4598, 65.10204
297.9419, 64.25954
298.4240, 64.50005
298.9061, 65.60939
299.3882, 66.47129
299.8704, 66.23132
300.3525, 65.31019
300.8346, 64.45395
301.3167, 63.72063
301.7988, 63.16753
302.2809, 62.93056
302.7631, 62.93773
303.2452, 62.96608
303.7273, 62.87603
304.2094, 62.75252
304.6915, 62.64100
305.1736, 62.52483
305.6558, 62.64387
306.1379, 63.80700
306.6200, 65.31893
307.1021, 65.87034
307.5842, 63.88397
308.0663, 61.33175
308.5485, 60.04624
309.0306, 60.02911
309.5127, 60.47578
309.9948, 61.18309
310.4769, 61.92361
310.9590, 62.40630
