##NAMES=Galeite
##RRUFFID=R130025
##IDEAL CHEMISTRY=Na_15_(S^6+^O_4_)_5_ClF_4_
##LOCALITY=Searles Lake, Trona, San Bernardino County, California, USA
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Colorless hexagonal prisms with tapering pyramidal terminations, associated with gaylussite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R130025
8.975323e+001, 0.000000e+000
9.023535e+001, 4.437262e+002
9.071747e+001, 4.387437e+002
9.119958e+001, 4.352714e+002
9.168170e+001, 4.427163e+002
9.216382e+001, 4.489003e+002
9.264594e+001, 4.515818e+002
9.312805e+001, 4.519200e+002
9.361017e+001, 4.513145e+002
9.409229e+001, 4.493577e+002
9.457440e+001, 4.455200e+002
9.505651e+001, 4.411755e+002
9.553863e+001, 4.360730e+002
9.602074e+001, 4.310952e+002
9.650286e+001, 4.271667e+002
9.698498e+001, 4.244070e+002
9.746709e+001, 4.215906e+002
9.794921e+001, 4.183324e+002
9.843133e+001, 4.142825e+002
9.891344e+001, 4.104390e+002
9.939556e+001, 4.068167e+002
9.987768e+001, 4.034237e+002
1.003598e+002, 4.004717e+002
1.008419e+002, 3.981139e+002
1.013240e+002, 3.962965e+002
1.018061e+002, 3.945700e+002
1.022883e+002, 3.928292e+002
1.027704e+002, 3.911757e+002
1.032525e+002, 3.896147e+002
1.037346e+002, 3.880536e+002
1.042167e+002, 3.868938e+002
1.046988e+002, 3.867380e+002
1.051810e+002, 3.870190e+002
1.056631e+002, 3.868862e+002
1.061452e+002, 3.857086e+002
1.066273e+002, 3.837691e+002
1.071094e+002, 3.823069e+002
1.075915e+002, 3.818822e+002
1.080737e+002, 3.812184e+002
1.085558e+002, 3.796613e+002
1.090379e+002, 3.774224e+002
1.095200e+002, 3.750489e+002
1.100021e+002, 3.728719e+002
1.104842e+002, 3.707567e+002
1.109664e+002, 3.696400e+002
1.114485e+002, 3.705150e+002
1.119306e+002, 3.714956e+002
1.124127e+002, 3.716310e+002
1.128948e+002, 3.708293e+002
1.133769e+002, 3.696787e+002
1.138591e+002, 3.690481e+002
1.143412e+002, 3.694979e+002
1.148233e+002, 3.694425e+002
1.153054e+002, 3.686906e+002
1.157875e+002, 3.675479e+002
1.162696e+002, 3.662256e+002
1.167517e+002, 3.647778e+002
1.172339e+002, 3.633165e+002
1.177160e+002, 3.621237e+002
1.181981e+002, 3.611265e+002
1.186802e+002, 3.604117e+002
1.191623e+002, 3.602921e+002
1.196444e+002, 3.605205e+002
1.201266e+002, 3.603701e+002
1.206087e+002, 3.593467e+002
1.210908e+002, 3.578603e+002
1.215729e+002, 3.568408e+002
1.220550e+002, 3.565439e+002
1.225371e+002, 3.562713e+002
1.230193e+002, 3.553505e+002
1.235014e+002, 3.537036e+002
1.239835e+002, 3.520531e+002
1.244656e+002, 3.507603e+002
1.249477e+002, 3.496447e+002
1.254298e+002, 3.485711e+002
1.259120e+002, 3.475230e+002
1.263941e+002, 3.464743e+002
1.268762e+002, 3.453814e+002
1.273583e+002, 3.442424e+002
1.278404e+002, 3.430528e+002
1.283225e+002, 3.417332e+002
