##NAMES=Graphite
##RRUFFID=R120025
##IDEAL CHEMISTRY=C
##LOCALITY=Saint-Sauveur Graphite occurrence, Saint-Sauveur, Les Pays-d'en-Haut RCM, Laurentides, Québec, Canada
##OWNER=RRUFF
##SOURCE=Donald Doell
##DESCRIPTION=Semi-metallic, dark gray flakes
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R120025
8.936163e+001, 0.000000e+000
8.984375e+001, 1.836675e+001
9.032587e+001, 1.845580e+001
9.080798e+001, 1.848307e+001
9.129010e+001, 1.845934e+001
9.177222e+001, 1.836007e+001
9.225433e+001, 1.810112e+001
9.273645e+001, 1.769702e+001
9.321857e+001, 1.731593e+001
9.370068e+001, 1.712934e+001
9.418280e+001, 1.708887e+001
9.466492e+001, 1.704556e+001
9.514703e+001, 1.698052e+001
9.562915e+001, 1.687452e+001
9.611127e+001, 1.661254e+001
9.659338e+001, 1.615937e+001
9.707550e+001, 1.573625e+001
9.755762e+001, 1.571369e+001
9.803973e+001, 1.610175e+001
9.852185e+001, 1.633531e+001
9.900397e+001, 1.607137e+001
9.948608e+001, 1.529246e+001
9.996820e+001, 1.478864e+001
1.004503e+002, 1.461560e+001
1.009324e+002, 1.465108e+001
1.014146e+002, 1.466593e+001
1.018967e+002, 1.467658e+001
1.023788e+002, 1.462018e+001
1.028609e+002, 1.443716e+001
1.033430e+002, 1.406795e+001
1.038251e+002, 1.377478e+001
1.043073e+002, 1.361171e+001
1.047894e+002, 1.354510e+001
1.052715e+002, 1.339155e+001
1.057536e+002, 1.307528e+001
1.062357e+002, 1.275404e+001
1.067178e+002, 1.254087e+001
1.072000e+002, 1.255348e+001
1.076821e+002, 1.250405e+001
1.081642e+002, 1.231058e+001
1.086463e+002, 1.195325e+001
1.091284e+002, 1.172828e+001
1.096105e+002, 1.171918e+001
1.100927e+002, 1.180646e+001
1.105748e+002, 1.187894e+001
1.110569e+002, 1.196744e+001
1.115390e+002, 1.201040e+001
1.120211e+002, 1.199965e+001
1.125032e+002, 1.194119e+001
1.129854e+002, 1.180432e+001
1.134675e+002, 1.150127e+001
1.139496e+002, 1.113356e+001
1.144317e+002, 1.084390e+001
1.149138e+002, 1.073298e+001
1.153959e+002, 1.066003e+001
1.158781e+002, 1.056364e+001
1.163602e+002, 1.042631e+001
1.168423e+002, 1.027938e+001
1.173244e+002, 1.009953e+001
1.178065e+002, 9.912815e+000
1.182886e+002, 9.785571e+000
1.187708e+002, 9.806306e+000
1.192529e+002, 9.866841e+000
1.197350e+002, 9.886025e+000
1.202171e+002, 9.855564e+000
1.206992e+002, 9.763273e+000
1.211813e+002, 9.517733e+000
1.216635e+002, 9.159762e+000
1.221456e+002, 8.922978e+000
1.226277e+002, 9.109386e+000
1.231098e+002, 9.468201e+000
1.235919e+002, 9.665739e+000
1.240740e+002, 9.436809e+000
1.245562e+002, 9.082563e+000
1.250383e+002, 8.937270e+000
1.255204e+002, 8.998714e+000
1.260025e+002, 9.090695e+000
1.264846e+002, 9.096683e+000
1.269667e+002, 9.019292e+000
1.274489e+002, 8.865066e+000
1.279310e+002, 8.524885e+000
1.284131e+002, 8.127776e+000
1.288952e+002, 7.980001e+000
1.293773e+002, 8.132735e+000
1.298594e+002, 8.323709e+000
1.303416e+002, 8.154153e+000
1.308237e+002, 7.679133e+000
1.313058e+002, 7.288307e+000
1.317879e+002, 7.243500e+000
1.322700e+002, 7.478034e+000
1.327521e+002, 7.678284e+000
1.332343e+002, 7.831434e+000
1.337164e+002, 7.923429e+000
1.341985e+002, 7.912283e+000
1.346806e+002, 7.791455e+000
1.351627e+002, 7.653623e+000
1.356448e+002, 7.554433e+000
1.361270e+002, 7.493613e+000
1.366091e+002, 7.455691e+000
1.370912e+002, 7.454573e+000
1.375733e+002, 7.467797e+000
1.380554e+002, 7.411561e+000
1.385375e+002, 7.269987e+000
1.390197e+002, 7.104271e+000
1.395018e+002, 6.956337e+000
1.399839e+002, 6.829329e+000
1.404660e+002, 6.713350e+000
1.409481e+002, 6.610740e+000
1.414302e+002, 6.520223e+000
1.419124e+002, 6.412493e+000
1.423945e+002, 6.265843e+000
1.428766e+002, 6.132261e+000
1.433587e+002, 6.070188e+000
1.438408e+002, 6.116801e+000
1.443229e+002, 6.161108e+000
1.448051e+002, 6.186880e+000
1.452872e+002, 6.197215e+000
1.457693e+002, 6.159215e+000
1.462514e+002, 6.020263e+000
1.467335e+002, 5.865310e+000
1.472156e+002, 5.801617e+000
1.476978e+002, 5.866872e+000
1.481799e+002, 5.979108e+000
1.486620e+002, 6.152251e+000
1.491441e+002, 6.479620e+000
1.496262e+002, 6.606841e+000
1.501083e+002, 6.349652e+000
1.505905e+002, 5.920753e+000
1.510726e+002, 5.692586e+000
1.515547e+002, 5.908801e+000
1.520368e+002, 6.116669e+000
1.525189e+002, 6.180951e+000
1.530010e+002, 6.037342e+000
1.534832e+002, 5.853684e+000
1.539653e+002, 5.548163e+000
1.544474e+002, 5.204170e+000
1.549295e+002, 5.021841e+000
1.554116e+002, 5.173285e+000
1.558937e+002, 5.384828e+000
1.563759e+002, 5.538596e+000
1.568580e+002, 5.660426e+000
1.573401e+002, 5.666803e+000
1.578222e+002, 5.433823e+000
1.583043e+002, 5.041510e+000
1.587864e+002, 4.784781e+000
1.592686e+002, 4.832441e+000
1.597507e+002, 4.988832e+000
1.602328e+002, 5.129975e+000
1.607149e+002, 5.259774e+000
1.611970e+002, 5.337190e+000
1.616791e+002, 5.329341e+000
1.621613e+002, 5.246661e+000
1.626434e+002, 5.156922e+000
1.631255e+002, 5.094211e+000
1.636076e+002, 5.034108e+000
1.640897e+002, 4.954861e+000
1.645718e+002, 4.692939e+000
1.650540e+002, 4.539583e+000
1.655361e+002, 4.775186e+000
1.660182e+002, 5.378510e+000
1.665003e+002, 5.801049e+000
1.669824e+002, 5.532831e+000
1.674645e+002, 4.973574e+000
1.679467e+002, 4.620373e+000
1.684288e+002, 4.832438e+000
1.689109e+002, 5.196965e+000
1.693930e+002, 5.423081e+000
1.698751e+002, 5.496661e+000
1.703572e+002, 5.557761e+000
1.708394e+002, 5.741117e+000
1.713215e+002, 5.975537e+000
1.718036e+002, 6.138423e+000
1.722857e+002, 6.123435e+000
1.727678e+002, 6.040617e+000
1.732499e+002, 5.995443e+000
1.737321e+002, 5.996770e+000
1.742142e+002, 6.016192e+000
1.746963e+002, 6.062531e+000
1.751784e+002, 6.111811e+000
1.756605e+002, 6.107135e+000
1.761426e+002, 5.898771e+000
1.766248e+002, 5.659787e+000
1.771069e+002, 5.656987e+000
1.775890e+002, 5.948701e+000
1.780711e+002, 6.330129e+000
1.785532e+002, 6.657204e+000
1.790353e+002, 6.912996e+000
1.795175e+002, 7.024895e+000
1.799996e+002, 6.806735e+000
1.804817e+002, 6.438452e+000
1.809638e+002, 6.280271e+000
1.814459e+002, 6.405652e+000
1.819280e+002, 6.663844e+000
1.824102e+002, 6.916236e+000
1.828923e+002, 7.148625e+000
1.833744e+002, 7.300944e+000
1.838565e+002, 7.307292e+000
1.843386e+002, 7.199317e+000
1.848207e+002, 7.043649e+000
1.853029e+002, 6.809087e+000
1.857850e+002, 6.602605e+000
1.862671e+002, 6.655421e+000
1.867492e+002, 6.955084e+000
1.872313e+002, 7.239752e+000
1.877134e+002, 7.277804e+000
1.881956e+002, 7.127218e+000
1.886777e+002, 7.070349e+000
1.891598e+002, 7.175922e+000
1.896419e+002, 7.369865e+000
1.901240e+002, 7.516345e+000
1.906061e+002, 7.617723e+000
1.910883e+002, 7.650444e+000
1.915704e+002, 7.514846e+000
1.920525e+002, 7.241622e+000
1.925346e+002, 7.170985e+000
1.930167e+002, 7.433042e+000
1.934988e+002, 7.879577e+000
1.939810e+002, 8.058132e+000
1.944631e+002, 7.938308e+000
1.949452e+002, 7.769344e+000
1.954273e+002, 7.740431e+000
1.959094e+002, 7.846551e+000
1.963915e+002, 7.886271e+000
1.968737e+002, 7.813165e+000
1.973558e+002, 7.653170e+000
1.978379e+002, 7.479500e+000
1.983200e+002, 7.287529e+000
1.988021e+002, 7.106317e+000
1.992842e+002, 6.951206e+000
1.997664e+002, 6.818092e+000
2.002485e+002, 6.757366e+000
2.007306e+002, 6.815966e+000
2.012127e+002, 6.956197e+000
2.016948e+002, 6.933222e+000
2.021769e+002, 6.697948e+000
2.026591e+002, 6.455848e+000
2.031412e+002, 6.436976e+000
2.036233e+002, 6.676978e+000
2.041054e+002, 6.857325e+000
2.045875e+002, 6.904532e+000
2.050696e+002, 6.830060e+000
2.055518e+002, 6.708960e+000
2.060339e+002, 6.514901e+000
2.065160e+002, 6.332545e+000
2.069981e+002, 6.279343e+000
2.074802e+002, 6.399774e+000
2.079623e+002, 6.434344e+000
2.084445e+002, 6.270441e+000
2.089266e+002, 5.922616e+000
2.094087e+002, 5.794861e+000
2.098908e+002, 5.949840e+000
2.103729e+002, 6.203168e+000
2.108550e+002, 6.363564e+000
2.113372e+002, 6.418614e+000
2.118193e+002, 6.419318e+000
2.123014e+002, 6.348115e+000
2.127835e+002, 6.204949e+000
2.132656e+002, 6.177021e+000
2.137477e+002, 6.303326e+000
2.142299e+002, 6.488572e+000
2.147120e+002, 6.636696e+000
2.151941e+002, 6.772525e+000
2.156762e+002, 6.804075e+000
2.161583e+002, 6.673668e+000
2.166404e+002, 6.369462e+000
2.171226e+002, 6.160097e+000
2.176047e+002, 6.073140e+000
2.180868e+002, 6.046837e+000
2.185689e+002, 6.001120e+000
2.190510e+002, 5.910649e+000
2.195331e+002, 5.861568e+000
2.200153e+002, 5.889125e+000
2.204974e+002, 6.004411e+000
2.209795e+002, 6.070335e+000
2.214616e+002, 6.062983e+000
2.219437e+002, 6.032602e+000
2.224258e+002, 6.050551e+000
2.229080e+002, 6.158129e+000
2.233901e+002, 6.223693e+000
2.238722e+002, 6.194313e+000
2.243543e+002, 6.051849e+000
2.248364e+002, 5.977115e+000
2.253185e+002, 6.005631e+000
2.258007e+002, 6.068985e+000
2.262828e+002, 6.074801e+000
2.267649e+002, 5.981026e+000
2.272470e+002, 5.913239e+000
2.277291e+002, 5.917119e+000
2.282112e+002, 6.007477e+000
2.286934e+002, 6.053617e+000
2.291755e+002, 6.046110e+000
2.296576e+002, 6.003129e+000
2.301397e+002, 5.936366e+000
2.306218e+002, 5.792765e+000
2.311039e+002, 5.725058e+000
2.315861e+002, 5.808062e+000
2.320682e+002, 6.085042e+000
2.325503e+002, 6.207407e+000
2.330324e+002, 6.091933e+000
2.335145e+002, 5.893420e+000
2.339966e+002, 5.814152e+000
2.344788e+002, 5.939187e+000
2.349609e+002, 6.031633e+000
2.354430e+002, 6.017009e+000
2.359251e+002, 5.873296e+000
2.364072e+002, 5.779850e+000
2.368893e+002, 5.756514e+000
2.373715e+002, 5.766692e+000
2.378536e+002, 5.763841e+000
2.383357e+002, 5.732328e+000
2.388178e+002, 5.714320e+000
2.392999e+002, 5.716015e+000
