##NAMES=Minasragrite
##RRUFFID=R130365
##IDEAL CHEMISTRY=V^4+^O(S^6+^O_4_)&#183;5H_2_O
##LOCALITY=Minas Ragra mine, Pasco, Peru
##OWNER=RRUFF
##SOURCE=Tom Loomis
##DESCRIPTION=Glassy blue crystals on patronite, associated with R130366 retgersite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130365
8.975323e+001, 0.000000e+000
9.023535e+001, 7.294781e+001
9.071747e+001, 7.162349e+001
9.119958e+001, 7.087233e+001
9.168170e+001, 7.260236e+001
9.216382e+001, 7.419547e+001
9.264594e+001, 7.496928e+001
9.312805e+001, 7.507990e+001
9.361017e+001, 7.494685e+001
9.409229e+001, 7.480103e+001
9.457440e+001, 7.473132e+001
9.505651e+001, 7.447654e+001
9.553863e+001, 7.402227e+001
9.602074e+001, 7.349473e+001
9.650286e+001, 7.298857e+001
9.698498e+001, 7.249431e+001
9.746709e+001, 7.189043e+001
9.794921e+001, 7.141747e+001
9.843133e+001, 7.114931e+001
9.891344e+001, 7.090689e+001
9.939556e+001, 7.069820e+001
9.987768e+001, 7.047554e+001
1.003598e+002, 7.009563e+001
1.008419e+002, 6.938148e+001
1.013240e+002, 6.845818e+001
1.018061e+002, 6.783657e+001
1.022883e+002, 6.768260e+001
1.027704e+002, 6.770125e+001
1.032525e+002, 6.760619e+001
1.037346e+002, 6.736053e+001
1.042167e+002, 6.717122e+001
1.046988e+002, 6.726514e+001
1.051810e+002, 6.748171e+001
1.056631e+002, 6.757314e+001
1.061452e+002, 6.731294e+001
1.066273e+002, 6.682034e+001
1.071094e+002, 6.662181e+001
1.075915e+002, 6.702074e+001
1.080737e+002, 6.734602e+001
1.085558e+002, 6.724756e+001
1.090379e+002, 6.683945e+001
1.095200e+002, 6.642167e+001
1.100021e+002, 6.629588e+001
1.104842e+002, 6.655524e+001
1.109664e+002, 6.661672e+001
1.114485e+002, 6.627934e+001
1.119306e+002, 6.592487e+001
1.124127e+002, 6.572678e+001
1.128948e+002, 6.571095e+001
1.133769e+002, 6.579638e+001
1.138591e+002, 6.587232e+001
1.143412e+002, 6.595592e+001
1.148233e+002, 6.599021e+001
1.153054e+002, 6.599571e+001
1.157875e+002, 6.594625e+001
1.162696e+002, 6.577085e+001
1.167517e+002, 6.543348e+001
1.172339e+002, 6.505253e+001
1.177160e+002, 6.494105e+001
1.181981e+002, 6.519644e+001
1.186802e+002, 6.544187e+001
1.191623e+002, 6.558000e+001
1.196444e+002, 6.562606e+001
1.201266e+002, 6.560556e+001
1.206087e+002, 6.547269e+001
1.210908e+002, 6.532819e+001
1.215729e+002, 6.537959e+001
1.220550e+002, 6.575303e+001
1.225371e+002, 6.610575e+001
1.230193e+002, 6.605957e+001
1.235014e+002, 6.555714e+001
1.239835e+002, 6.514390e+001
1.244656e+002, 6.520602e+001
1.249477e+002, 6.545056e+001
1.254298e+002, 6.563282e+001
1.259120e+002, 6.566209e+001
1.263941e+002, 6.559082e+001
1.268762e+002, 6.553555e+001
1.273583e+002, 6.551803e+001
1.278404e+002, 6.547923e+001
1.283225e+002, 6.538115e+001
1.288047e+002, 6.525906e+001
1.292868e+002, 6.515961e+001
1.297689e+002, 6.511312e+001
1.302510e+002, 6.511678e+001
1.307331e+002, 6.512868e+001
1.312152e+002, 6.524088e+001
1.316974e+002, 6.527157e+001
1.321795e+002, 6.509667e+001
1.326616e+002, 6.478822e+001
1.331437e+002, 6.451331e+001
1.336258e+002, 6.441514e+001
1.341079e+002, 6.451463e+001
1.345901e+002, 6.469296e+001
1.350722e+002, 6.513680e+001
1.355543e+002, 6.550026e+001
1.360364e+002, 6.549577e+001
1.365185e+002, 6.513205e+001
