##NAMES=Pumpellyite-(Mg)
##RRUFFID=R120172
##IDEAL CHEMISTRY=Ca_2_MgAl_2_(SiO_4_)(Si_2_O_7_)(OH)_2_&#183;H_2_O
##LOCALITY=Archidona, Malaga Province, Spain
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Aggregates of dark-green acicular crystals, associated with light green epidote
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120172
110.8446, 596.5817
111.3267, 597.3700
111.8088, 598.1614
112.2909, 599.2589
112.7731, 601.1084
113.2552, 603.6104
113.7373, 606.1246
114.2194, 607.7216
114.7015, 608.0560
115.1836, 607.8973
115.6658, 607.1252
116.1479, 605.9476
116.6300, 604.4456
117.1121, 602.6198
117.5942, 600.7009
118.0763, 599.2888
118.5584, 598.4836
119.0406, 597.8054
119.5227, 597.0807
120.0048, 596.3700
120.4869, 595.8525
120.9690, 595.6647
121.4511, 595.6894
121.9333, 595.6737
122.4154, 595.6754
122.8975, 595.5276
123.3796, 595.0102
123.8617, 594.0739
124.3438, 593.1468
124.8260, 592.2797
125.3081, 591.5820
125.7902, 591.2214
126.2723, 591.3253
126.7544, 591.7162
127.2365, 592.0001
127.7187, 592.1119
128.2008, 592.2207
128.6829, 592.4826
129.1650, 592.7597
129.6471, 592.8753
130.1292, 592.7237
130.6114, 592.3127
131.0935, 591.7203
131.5756, 591.0515
132.0577, 590.0850
132.5398, 588.5092
133.0219, 586.5445
133.5041, 584.6787
133.9862, 583.3214
134.4683, 582.5197
134.9504, 582.0275
135.4325, 581.8380
135.9146, 581.8871
136.3968, 582.3253
136.8789, 583.0936
137.3610, 583.7574
137.8431, 583.7438
138.3252, 582.8564
138.8073, 582.2630
139.2895, 582.0794
139.7716, 582.1960
140.2537, 582.6400
140.7358, 583.5267
141.2179, 584.3041
141.7000, 583.9567
142.1821, 582.5814
142.6643, 581.5816
143.1464, 581.7761
143.6285, 582.8666
144.1106, 583.8004
144.5927, 584.4250
145.0748, 584.7003
145.5570, 584.6104
146.0391, 584.1590
146.5212, 583.5695
147.0033, 582.9861
147.4854, 582.4001
147.9675, 581.8961
148.4497, 581.7491
148.9318, 581.5165
149.4139, 580.9114
149.8960, 579.8845
150.3781, 578.6288
150.8602, 577.4213
151.3424, 576.2453
151.8245, 575.1426
152.3066, 574.1320
152.7887, 573.1686
153.2708, 572.2534
153.7529, 571.3853
154.2351, 570.4877
154.7172, 569.3640
155.1993, 567.6591
155.6814, 566.1518
156.1635, 564.7092
156.6456, 563.5254
157.1278, 562.9570
157.6099, 563.2174
158.0920, 564.0365
158.5741, 564.2522
159.0562, 563.4924
159.5383, 562.6450
160.0205, 561.8451
160.5026, 561.1064
160.9847, 560.4563
161.4668, 559.9297
161.9489, 559.4998
162.4310, 559.0397
162.9131, 558.3616
163.3953, 557.8283
