##NAMES=Rhodonite
##RRUFFID=R100038
##IDEAL CHEMISTRY=CaMn^2+^_3_Mn^2+^Si_5_O_15_
##LOCALITY=Langban, Filipstad, Varmland, Sweden
##OWNER=RRUFF
##SOURCE=William W Pinch
##DESCRIPTION=Pale red, tabular to blocky crystals associated with black langbanite R100037
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100038
90.97430, 44.24509
91.45642, 44.31653
91.93854, 44.17182
92.42065, 43.92788
92.90277, 43.75106
93.38489, 43.65350
93.86700, 43.60748
94.34912, 43.60406
94.83124, 43.63519
95.31335, 43.65446
95.79547, 43.61648
96.27759, 43.53832
96.75970, 43.48179
97.24182, 43.44353
97.72394, 43.44558
98.20605, 43.57899
98.68817, 43.86412
99.17029, 44.11822
99.65240, 44.19320
100.1345, 44.08018
100.6166, 43.91464
101.0988, 43.72159
101.5809, 43.49811
102.0630, 43.20013
102.5451, 42.79211
103.0272, 42.36820
103.5093, 41.97825
103.9915, 41.53148
104.4736, 41.37010
104.9557, 41.65730
105.4378, 42.49688
105.9199, 43.22823
106.4020, 43.98781
106.8842, 44.57735
107.3663, 44.62047
107.8484, 43.60347
108.3305, 42.63399
108.8126, 42.10666
109.2947, 42.34401
109.7769, 42.48758
110.2590, 42.47067
110.7411, 42.34837
111.2232, 42.29226
111.7053, 42.20864
112.1874, 42.25921
112.6696, 42.51797
113.1517, 43.72456
113.6338, 44.35119
114.1159, 43.77791
114.5980, 42.21318
115.0801, 41.13638
115.5623, 41.25467
116.0444, 41.82638
116.5265, 42.27625
117.0086, 42.30915
117.4907, 42.32782
117.9728, 42.55162
118.4550, 42.99534
118.9371, 43.29804
119.4192, 43.24944
119.9013, 42.97864
120.3834, 42.65022
120.8655, 42.12970
121.3477, 41.70200
121.8298, 41.62109
122.3119, 41.95173
122.7940, 42.36602
123.2761, 42.71779
123.7582, 42.98668
124.2404, 43.12741
124.7225, 42.89550
125.2046, 42.59801
125.6867, 42.68293
126.1688, 43.34502
126.6509, 44.07940
127.1331, 44.24584
127.6152, 43.94860
128.0973, 43.70573
128.5794, 43.95678
129.0615, 44.52800
129.5436, 44.97049
130.0258, 45.06813
130.5079, 45.12379
130.9900, 45.79054
131.4721, 47.06213
131.9542, 48.39106
132.4363, 49.09899
132.9185, 49.32335
133.4006, 50.04370
133.8827, 51.73199
134.3648, 54.07119
134.8469, 55.99208
135.3290, 57.42025
135.8112, 58.76319
136.2933, 60.33925
136.7754, 62.13673
137.2575, 64.44884
137.7396, 67.66972
138.2217, 71.70452
138.7039, 74.98462
139.1860, 77.33373
139.6681, 79.21095
140.1502, 81.40891
140.6323, 84.05282
141.1144, 86.52783
141.5966, 88.55128
142.0787, 89.99158
142.5608, 91.51615
143.0429, 93.13885
143.5250, 94.83362
