##NAMES=Richelsdorfite
##RRUFFID=R130552
##IDEAL CHEMISTRY=Ca_2_Cu^2+^_5_Sb^5+^(As^5+^O_4_)_4_(OH)_6_Cl&#183;6H_2_O
##LOCALITY=Silberberg, Brixlegg, Austria
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Platy blue crystals, with a 2-fold twin around [110]
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130552
8.936163e+001, 0.000000e+000
8.984375e+001, 2.429965e+002
9.032587e+001, 2.440596e+002
9.080798e+001, 2.443036e+002
9.129010e+001, 2.435208e+002
9.177222e+001, 2.421557e+002
9.225433e+001, 2.406747e+002
9.273645e+001, 2.390731e+002
9.321857e+001, 2.373557e+002
9.370068e+001, 2.359527e+002
9.418280e+001, 2.345466e+002
9.466492e+001, 2.320287e+002
9.514703e+001, 2.271076e+002
9.562915e+001, 2.209967e+002
9.611127e+001, 2.172986e+002
9.659338e+001, 2.163481e+002
9.707550e+001, 2.162606e+002
9.755762e+001, 2.147034e+002
9.803973e+001, 2.116391e+002
9.852185e+001, 2.086224e+002
9.900397e+001, 2.062071e+002
9.948608e+001, 2.043914e+002
9.996820e+001, 2.031020e+002
1.004503e+002, 2.026653e+002
1.009324e+002, 2.023569e+002
1.014146e+002, 2.004134e+002
1.018967e+002, 1.962246e+002
1.023788e+002, 1.920943e+002
1.028609e+002, 1.892872e+002
1.033430e+002, 1.882822e+002
1.038251e+002, 1.871535e+002
1.043073e+002, 1.858102e+002
1.047894e+002, 1.842549e+002
1.052715e+002, 1.824664e+002
1.057536e+002, 1.801786e+002
1.062357e+002, 1.779329e+002
1.067178e+002, 1.761019e+002
1.072000e+002, 1.751105e+002
1.076821e+002, 1.739369e+002
1.081642e+002, 1.723736e+002
1.086463e+002, 1.703788e+002
1.091284e+002, 1.685771e+002
1.096105e+002, 1.673672e+002
1.100927e+002, 1.661734e+002
1.105748e+002, 1.644751e+002
1.110569e+002, 1.610703e+002
1.115390e+002, 1.582823e+002
1.120211e+002, 1.568894e+002
1.125032e+002, 1.574046e+002
1.129854e+002, 1.575036e+002
1.134675e+002, 1.568888e+002
1.139496e+002, 1.556784e+002
1.144317e+002, 1.540277e+002
1.149138e+002, 1.510799e+002
1.153959e+002, 1.483699e+002
1.158781e+002, 1.467469e+002
1.163602e+002, 1.469577e+002
1.168423e+002, 1.469118e+002
1.173244e+002, 1.456853e+002
1.178065e+002, 1.436201e+002
1.182886e+002, 1.415872e+002
1.187708e+002, 1.397126e+002
1.192529e+002, 1.381337e+002
1.197350e+002, 1.370383e+002
1.202171e+002, 1.369680e+002
1.206992e+002, 1.367910e+002
1.211813e+002, 1.349784e+002
1.216635e+002, 1.319914e+002
1.221456e+002, 1.304504e+002
1.226277e+002, 1.346806e+002
1.231098e+002, 1.407187e+002
1.235919e+002, 1.432768e+002
1.240740e+002, 1.376161e+002
1.245562e+002, 1.293591e+002
1.250383e+002, 1.244138e+002
1.255204e+002, 1.227348e+002
1.260025e+002, 1.221730e+002
1.264846e+002, 1.211411e+002
1.269667e+002, 1.198154e+002
1.274489e+002, 1.186370e+002
1.279310e+002, 1.178902e+002
1.284131e+002, 1.174043e+002
1.288952e+002, 1.168592e+002
1.293773e+002, 1.162411e+002
1.298594e+002, 1.155797e+002
1.303416e+002, 1.149198e+002
1.308237e+002, 1.142569e+002
1.313058e+002, 1.135138e+002
1.317879e+002, 1.125415e+002
