##NAMES=Shigaite
##RRUFFID=R080090
##IDEAL CHEMISTRY=NaAl_3_Mn^2+^_6_(S^6+^O_4_)_2_(OH)_18_&#183;12H_2_O
##LOCALITY=Ioi Mine, Shiga Prefecture, Kinki Region, Honshu Island, Japan
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Semi-transparent, dull-yellow to pale yellow coating
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R080090
91.87140, 0.0000000E+00
92.35352, 6.267697
92.83563, 6.185819
93.31775, 6.151113
93.79987, 6.158628
94.28198, 6.212702
94.76410, 6.323534
95.24622, 6.483858
95.72833, 6.710688
96.21045, 7.048468
96.69257, 7.501788
97.17468, 8.013749
97.65680, 8.566633
98.13892, 9.160716
98.62103, 9.666810
99.10315, 9.975550
99.58527, 10.14439
100.0674, 10.56885
100.5495, 11.28628
101.0316, 12.16988
101.5137, 13.01826
101.9958, 13.76591
102.4780, 14.73157
102.9601, 16.05502
103.4422, 17.79628
103.9243, 19.48367
104.4064, 21.07606
104.8885, 22.64976
105.3707, 24.40518
105.8528, 26.48834
106.3349, 28.52695
106.8170, 30.35759
107.2991, 31.85010
107.7813, 33.38377
108.2634, 35.02874
108.7455, 36.73269
109.2276, 38.26101
109.7097, 39.39550
110.1918, 40.52645
110.6740, 41.81750
111.1561, 43.37235
111.6382, 44.97553
112.1203, 46.53451
112.6024, 48.10022
113.0845, 49.89718
113.5667, 52.09781
114.0488, 54.45733
114.5309, 56.83687
115.0130, 59.21481
115.4951, 61.57761
115.9772, 63.84483
116.4594, 66.04489
116.9415, 68.46768
117.4236, 71.56837
117.9057, 74.83797
118.3878, 77.71947
118.8699, 79.80089
119.3521, 81.62844
119.8342, 83.49491
120.3163, 85.41541
120.7984, 87.40745
121.2805, 89.44779
121.7626, 91.56902
122.2448, 93.82676
122.7269, 96.89788
123.2090, 99.80363
123.6911, 101.4427
124.1732, 101.5210
124.6553, 101.0792
125.1375, 100.7776
125.6196, 100.6720
126.1017, 100.9394
126.5838, 101.7038
127.0659, 102.9122
127.5480, 104.5433
128.0302, 106.7276
128.5123, 109.0699
128.9944, 111.0185
129.4765, 112.6025
129.9586, 114.0948
130.4407, 115.7019
130.9229, 117.3852
131.4050, 118.9985
131.8871, 120.4743
132.3692, 121.8581
132.8513, 123.1527
133.3334, 124.1462
133.8156, 124.6892
134.2977, 125.1809
134.7798, 126.0398
135.2619, 126.8579
135.7440, 127.5414
136.2261, 128.1145
136.7083, 128.7201
137.1904, 129.3492
137.6725, 130.0524
138.1546, 131.0223
138.6367, 132.3922
139.1188, 133.3384
139.6010, 133.6246
140.0831, 133.2548
140.5652, 132.6248
141.0473, 131.4865
141.5294, 130.4111
142.0115, 130.2900
142.4937, 131.6407
142.9758, 132.7013
143.4579, 132.8477
143.9400, 131.8023
144.4221, 131.1947
144.9042, 131.1563
145.3864, 131.4618
145.8685, 131.7544
146.3506, 132.1467
146.8327, 132.3745
147.3148, 132.3198
147.7969, 131.7864
148.2791, 131.4147
148.7612, 131.2619
149.2433, 131.2642
149.7254, 131.2740
150.2075, 131.2110
150.6896, 131.2281
151.1718, 131.3851
151.6539, 131.7792
152.1360, 132.1720
152.6181, 132.5708
153.1002, 132.9679
153.5823, 133.3371
154.0645, 133.8921
154.5466, 134.2682
155.0287, 134.2947
155.5108, 133.7315
155.9929, 133.0860
156.4750, 132.2425
156.9572, 131.3108
157.4393, 130.7712
157.9214, 131.1565
158.4035, 131.6953
158.8856, 131.9081
159.3677, 131.2271
159.8499, 130.6741
160.3320, 130.5620
160.8141, 130.8409
161.2962, 131.2276
161.7783, 131.9489
162.2604, 132.5836
162.7426, 132.7844
163.2247, 131.9030
163.7068, 131.0469
164.1889, 130.7449
164.6710, 130.9723
165.1531, 131.2812
165.6353, 131.6349
166.1174, 131.8944
166.5995, 131.9099
167.0816, 131.2810
167.5637, 130.6459
168.0458, 130.4776
168.5280, 130.7812
169.0101, 131.1019
169.4922, 131.0633
169.9743, 130.8758
170.4564, 130.8341
170.9385, 131.3595
171.4207, 131.9030
171.9028, 131.8979
172.3849, 131.3024
172.8670, 130.6394
173.3491, 130.3207
173.8312, 130.2180
174.3134, 130.0847
174.7955, 129.6776
175.2776, 129.2390
175.7597, 129.0953
176.2418, 129.2873
176.7239, 129.5660
177.2061, 129.8118
177.6882, 129.9808
178.1703, 129.9507
178.6524, 129.4270
179.1345, 128.7247
179.6166, 128.4395
180.0988, 128.6574
180.5809, 128.9927
181.0630, 128.9626
181.5451, 128.6537
182.0272, 128.4145
182.5093, 128.4873
182.9915, 128.7578
183.4736, 128.9445
183.9557, 129.0184
184.4378, 129.0473
184.9199, 129.0732
185.4020, 129.1088
185.8842, 129.2540
186.3663, 129.8064
186.8484, 130.5606
187.3305, 130.6157
187.8126, 129.7312
188.2947, 128.5938
188.7769, 128.3537
189.2590, 128.9744
189.7411, 129.7022
190.2232, 130.0998
190.7053, 130.2219
191.1874, 130.4373
191.6696, 130.7982
192.1517, 131.2264
