##NAMES=Stichtite
##RRUFFID=R060675
##IDEAL CHEMISTRY=Mg_6_Cr^3+^_2_CO_3_(OH)_16_&#183;4H_2_O
##LOCALITY=Nevada Creek, Dundas, Tasmania, Australia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Purple massive, associated with green serpentine
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060675
8.930109e+001, 0.000000e+000
8.978320e+001, 4.675219e+003
9.026532e+001, 4.655382e+003
9.074744e+001, 4.657444e+003
9.122955e+001, 4.690588e+003
9.171167e+001, 4.738182e+003
9.219379e+001, 4.781288e+003
9.267590e+001, 4.821772e+003
9.315802e+001, 4.850318e+003
9.364014e+001, 4.854732e+003
9.412225e+001, 4.842156e+003
9.460437e+001, 4.830031e+003
9.508649e+001, 4.823878e+003
9.556860e+001, 4.819080e+003
9.605072e+001, 4.808802e+003
9.653284e+001, 4.797034e+003
9.701495e+001, 4.785118e+003
9.749707e+001, 4.772310e+003
9.797919e+001, 4.758356e+003
9.846130e+001, 4.745971e+003
9.894342e+001, 4.734725e+003
9.942554e+001, 4.724824e+003
9.990765e+001, 4.722023e+003
1.003898e+002, 4.727872e+003
1.008719e+002, 4.737096e+003
1.013540e+002, 4.742227e+003
1.018361e+002, 4.742750e+003
1.023182e+002, 4.741738e+003
1.028004e+002, 4.739248e+003
1.032825e+002, 4.733438e+003
1.037646e+002, 4.734938e+003
1.042467e+002, 4.745690e+003
1.047288e+002, 4.762734e+003
1.052109e+002, 4.778767e+003
1.056931e+002, 4.791853e+003
1.061752e+002, 4.807470e+003
1.066573e+002, 4.828486e+003
1.071394e+002, 4.857797e+003
1.076215e+002, 4.887859e+003
1.081036e+002, 4.922010e+003
1.085858e+002, 4.958396e+003
1.090679e+002, 4.985380e+003
1.095500e+002, 4.995078e+003
1.100321e+002, 5.001891e+003
1.105142e+002, 5.013427e+003
1.109963e+002, 5.032278e+003
1.114785e+002, 5.053001e+003
1.119606e+002, 5.075859e+003
1.124427e+002, 5.100771e+003
1.129248e+002, 5.124725e+003
1.134069e+002, 5.146276e+003
1.138890e+002, 5.167225e+003
1.143712e+002, 5.189275e+003
1.148533e+002, 5.213631e+003
1.153354e+002, 5.238176e+003
1.158175e+002, 5.263240e+003
1.162996e+002, 5.289501e+003
1.167817e+002, 5.312170e+003
1.172639e+002, 5.326719e+003
1.177460e+002, 5.337713e+003
1.182281e+002, 5.350928e+003
1.187102e+002, 5.373165e+003
1.191923e+002, 5.394971e+003
1.196744e+002, 5.408960e+003
1.201566e+002, 5.412472e+003
1.206387e+002, 5.416766e+003
1.211208e+002, 5.429125e+003
1.216029e+002, 5.447121e+003
1.220850e+002, 5.465891e+003
1.225671e+002, 5.480291e+003
1.230493e+002, 5.495168e+003
1.235314e+002, 5.517210e+003
1.240135e+002, 5.550677e+003
1.244956e+002, 5.583075e+003
1.249777e+002, 5.600227e+003
1.254598e+002, 5.604960e+003
1.259420e+002, 5.607937e+003
1.264241e+002, 5.614681e+003
1.269062e+002, 5.624406e+003
1.273883e+002, 5.636003e+003
1.278704e+002, 5.649833e+003
1.283525e+002, 5.664511e+003
1.288347e+002, 5.678324e+003
1.293168e+002, 5.691292e+003
1.297989e+002, 5.703148e+003
1.302810e+002, 5.712917e+003
1.307631e+002, 5.721181e+003
1.312452e+002, 5.731130e+003
1.317274e+002, 5.745428e+003
1.322095e+002, 5.761113e+003
1.326916e+002, 5.769237e+003
1.331737e+002, 5.769169e+003
1.336558e+002, 5.766572e+003
1.341379e+002, 5.766484e+003
1.346201e+002, 5.768932e+003
1.351022e+002, 5.772844e+003
1.355843e+002, 5.778296e+003
1.360664e+002, 5.785106e+003
1.365485e+002, 5.791610e+003
1.370306e+002, 5.797798e+003
1.375128e+002, 5.803788e+003
1.379949e+002, 5.809689e+003
1.384770e+002, 5.815354e+003
1.389591e+002, 5.821733e+003
1.394412e+002, 5.829938e+003
1.399233e+002, 5.840211e+003
1.404055e+002, 5.847060e+003
1.408876e+002, 5.849869e+003
1.413697e+002, 5.849644e+003
1.418518e+002, 5.847704e+003
1.423339e+002, 5.843109e+003
1.428160e+002, 5.838758e+003
1.432982e+002, 5.835935e+003
1.437803e+002, 5.835567e+003
1.442624e+002, 5.833720e+003
1.447445e+002, 5.829754e+003
1.452266e+002, 5.824525e+003
1.457087e+002, 5.820189e+003
1.461909e+002, 5.817314e+003
1.466730e+002, 5.814643e+003
1.471551e+002, 5.811639e+003
1.476372e+002, 5.807759e+003
1.481193e+002, 5.804708e+003
1.486014e+002, 5.803085e+003
1.490836e+002, 5.802459e+003
1.495657e+002, 5.801108e+003
1.500478e+002, 5.798141e+003
1.505299e+002, 5.795229e+003
1.510120e+002, 5.793075e+003
1.514941e+002, 5.792426e+003
1.519763e+002, 5.791559e+003
1.524584e+002, 5.790124e+003
1.529405e+002, 5.788244e+003
1.534226e+002, 5.786704e+003
1.539047e+002, 5.784748e+003
1.543868e+002, 5.783601e+003
1.548690e+002, 5.783925e+003
1.553511e+002, 5.789206e+003
1.558332e+002, 5.792275e+003
1.563153e+002, 5.791654e+003
1.567974e+002, 5.787600e+003
1.572795e+002, 5.782189e+003
1.577617e+002, 5.774001e+003
1.582438e+002, 5.765698e+003
1.587259e+002, 5.759218e+003
1.592080e+002, 5.754716e+003
1.596901e+002, 5.752506e+003
1.601722e+002, 5.754617e+003
1.606544e+002, 5.760726e+003
1.611365e+002, 5.764065e+003
1.616186e+002, 5.758993e+003
1.621007e+002, 5.751400e+003
1.625828e+002, 5.746585e+003
1.630649e+002, 5.749161e+003
1.635471e+002, 5.752412e+003
1.640292e+002, 5.753489e+003
1.645113e+002, 5.752236e+003
1.649934e+002, 5.749529e+003
1.654755e+002, 5.743896e+003
1.659576e+002, 5.737430e+003
1.664398e+002, 5.732808e+003
1.669219e+002, 5.733300e+003
1.674040e+002, 5.734237e+003
1.678861e+002, 5.732235e+003
1.683682e+002, 5.726991e+003
1.688503e+002, 5.721365e+003
1.693325e+002, 5.716649e+003
1.698146e+002, 5.712855e+003
1.702967e+002, 5.710053e+003
1.707788e+002, 5.708661e+003
1.712609e+002, 5.708102e+003
1.717430e+002, 5.708248e+003
1.722252e+002, 5.709255e+003
1.727073e+002, 5.709785e+003
1.731894e+002, 5.707925e+003
1.736715e+002, 5.704718e+003
1.741536e+002, 5.702550e+003
1.746357e+002, 5.704042e+003
1.751179e+002, 5.706557e+003
1.756000e+002, 5.706367e+003
1.760821e+002, 5.702718e+003
1.765642e+002, 5.698936e+003
1.770463e+002, 5.698933e+003
1.775284e+002, 5.701633e+003
1.780106e+002, 5.703735e+003
1.784927e+002, 5.703327e+003
1.789748e+002, 5.701236e+003
1.794569e+002, 5.698233e+003
1.799390e+002, 5.693864e+003
1.804211e+002, 5.690670e+003
1.809033e+002, 5.692989e+003
1.813854e+002, 5.699762e+003
1.818675e+002, 5.705771e+003
1.823496e+002, 5.706148e+003
1.828317e+002, 5.703667e+003
1.833138e+002, 5.705552e+003
1.837960e+002, 5.713378e+003
1.842781e+002, 5.723263e+003
1.847602e+002, 5.729499e+003
1.852423e+002, 5.732458e+003
1.857244e+002, 5.734949e+003
1.862065e+002, 5.739427e+003
1.866887e+002, 5.744959e+003
1.871708e+002, 5.747549e+003
1.876529e+002, 5.745691e+003
1.881350e+002, 5.742862e+003
1.886171e+002, 5.746223e+003
1.890992e+002, 5.755600e+003
1.895814e+002, 5.764211e+003
1.900635e+002, 5.766125e+003
1.905456e+002, 5.762647e+003
1.910277e+002, 5.763024e+003
1.915098e+002, 5.769417e+003
1.919919e+002, 5.778417e+003
1.924741e+002, 5.782386e+003
1.929562e+002, 5.781109e+003
1.934383e+002, 5.779478e+003
1.939204e+002, 5.780958e+003
1.944025e+002, 5.785358e+003
1.948846e+002, 5.789625e+003
1.953668e+002, 5.793530e+003
1.958489e+002, 5.796932e+003
1.963310e+002, 5.799107e+003
1.968131e+002, 5.799828e+003
1.972952e+002, 5.800906e+003
1.977773e+002, 5.804165e+003
1.982595e+002, 5.809688e+003
1.987416e+002, 5.813454e+003
1.992237e+002, 5.814133e+003
1.997058e+002, 5.813465e+003
2.001879e+002, 5.817055e+003
2.006700e+002, 5.825987e+003
2.011522e+002, 5.834653e+003
2.016343e+002, 5.838696e+003
2.021164e+002, 5.837613e+003
2.025985e+002, 5.837401e+003
2.030806e+002, 5.838879e+003
2.035627e+002, 5.841635e+003
2.040449e+002, 5.844662e+003
2.045270e+002, 5.848234e+003
2.050091e+002, 5.851036e+003
2.054912e+002, 5.851626e+003
2.059733e+002, 5.849408e+003
2.064554e+002, 5.848411e+003
2.069376e+002, 5.849213e+003
2.074197e+002, 5.851519e+003
2.079018e+002, 5.854489e+003
2.083839e+002, 5.858477e+003
2.088660e+002, 5.862325e+003
2.093481e+002, 5.864711e+003
2.098303e+002, 5.864899e+003
2.103124e+002, 5.867606e+003
2.107945e+002, 5.874620e+003
2.112766e+002, 5.884416e+003
2.117587e+002, 5.890411e+003
2.122408e+002, 5.891229e+003
2.127230e+002, 5.891239e+003
2.132051e+002, 5.893200e+003
2.136872e+002, 5.897360e+003
2.141693e+002, 5.902581e+003
2.146514e+002, 5.909163e+003
2.151335e+002, 5.916552e+003
2.156157e+002, 5.921913e+003
2.160978e+002, 5.924248e+003
2.165799e+002, 5.926141e+003
2.170620e+002, 5.929146e+003
2.175441e+002, 5.933220e+003
2.180262e+002, 5.938469e+003
2.185084e+002, 5.945523e+003
2.189905e+002, 5.953851e+003
2.194726e+002, 5.960653e+003
2.199547e+002, 5.966315e+003
2.204368e+002, 5.970140e+003
2.209189e+002, 5.971032e+003
2.214011e+002, 5.966965e+003
2.218832e+002, 5.965916e+003
2.223653e+002, 5.970086e+003
2.228474e+002, 5.977917e+003
2.233295e+002, 5.982057e+003
2.238116e+002, 5.980709e+003
2.242938e+002, 5.978472e+003
2.247759e+002, 5.977860e+003
2.252580e+002, 5.978747e+003
2.257401e+002, 5.981661e+003
2.262222e+002, 5.987662e+003
2.267043e+002, 5.995648e+003
2.271865e+002, 6.001231e+003
2.276686e+002, 6.003083e+003
2.281507e+002, 6.004235e+003
2.286328e+002, 6.006541e+003
2.291149e+002, 6.011085e+003
2.295970e+002, 6.014140e+003
2.300792e+002, 6.014955e+003
2.305613e+002, 6.014163e+003
2.310434e+002, 6.014151e+003
2.315255e+002, 6.015313e+003
2.320076e+002, 6.016883e+003
2.324897e+002, 6.018505e+003
2.329719e+002, 6.020220e+003
2.334540e+002, 6.022055e+003
2.339361e+002, 6.023479e+003
2.344182e+002, 6.025166e+003
2.349003e+002, 6.029632e+003
2.353824e+002, 6.038608e+003
2.358646e+002, 6.047897e+003
2.363467e+002, 6.055282e+003
2.368288e+002, 6.059495e+003
2.373109e+002, 6.064425e+003
2.377930e+002, 6.070160e+003
2.382751e+002, 6.076554e+003
2.387573e+002, 6.083258e+003
2.392394e+002, 6.090874e+003
2.397215e+002, 6.097662e+003
2.402036e+002, 6.102581e+003
2.406857e+002, 6.104016e+003
2.411678e+002, 6.107132e+003
2.416500e+002, 6.113155e+003
2.421321e+002, 6.120420e+003
2.426142e+002, 6.124665e+003
2.430963e+002, 6.124319e+003
2.435784e+002, 6.123188e+003
2.440605e+002, 6.122580e+003
2.445427e+002, 6.121801e+003
2.450248e+002, 6.123572e+003
2.455069e+002, 6.129242e+003
2.459890e+002, 6.137033e+003
2.464711e+002, 6.143084e+003
2.469532e+002, 6.147651e+003
2.474354e+002, 6.150327e+003
2.479175e+002, 6.150582e+003
2.483996e+002, 6.147385e+003
2.488817e+002, 6.145547e+003
2.493638e+002, 6.145848e+003
2.498459e+002, 6.147215e+003
2.503281e+002, 6.147305e+003
2.508102e+002, 6.144407e+003
2.512923e+002, 6.143443e+003
2.517744e+002, 6.146814e+003
2.522565e+002, 6.156149e+003
2.527386e+002, 6.162855e+003
2.532208e+002, 6.165667e+003
2.537029e+002, 6.166792e+003
2.541850e+002, 6.169792e+003
2.546671e+002, 6.175435e+003
2.551492e+002, 6.181302e+003
2.556313e+002, 6.186490e+003
2.561135e+002, 6.190712e+003
2.565956e+002, 6.195306e+003
2.570777e+002, 6.199887e+003
2.575598e+002, 6.204909e+003
2.580419e+002, 6.211503e+003
2.585240e+002, 6.221186e+003
2.590062e+002, 6.228495e+003
2.594883e+002, 6.231006e+003
2.599704e+002, 6.228185e+003
2.604525e+002, 6.228037e+003
2.609346e+002, 6.231579e+003
2.614167e+002, 6.236565e+003
2.618989e+002, 6.240488e+003
2.623810e+002, 6.243082e+003
2.628631e+002, 6.245475e+003
2.633452e+002, 6.247800e+003
2.638273e+002, 6.250185e+003
2.643094e+002, 6.253567e+003
2.647916e+002, 6.258373e+003
2.652737e+002, 6.263864e+003
2.657558e+002, 6.269720e+003
2.662379e+002, 6.276472e+003
2.667200e+002, 6.281858e+003
2.672021e+002, 6.285063e+003
2.676843e+002, 6.286355e+003
2.681664e+002, 6.288374e+003
2.686485e+002, 6.290797e+003
2.691306e+002, 6.294459e+003
2.696127e+002, 6.300420e+003
2.700948e+002, 6.309212e+003
2.705770e+002, 6.317302e+003
2.710591e+002, 6.323752e+003
2.715412e+002, 6.328850e+003
2.720233e+002, 6.334421e+003
2.725054e+002, 6.340354e+003
2.729875e+002, 6.346529e+003
2.734697e+002, 6.352843e+003
2.739518e+002, 6.359343e+003
2.744339e+002, 6.366076e+003
2.749160e+002, 6.373728e+003
2.753981e+002, 6.381223e+003
2.758802e+002, 6.384324e+003
2.763624e+002, 6.381688e+003
2.768445e+002, 6.379983e+003
2.773266e+002, 6.384564e+003
2.778087e+002, 6.396060e+003
2.782908e+002, 6.404917e+003
2.787729e+002, 6.409932e+003
2.792551e+002, 6.412521e+003
2.797372e+002, 6.416083e+003
2.802193e+002, 6.421034e+003
2.807014e+002, 6.424468e+003
2.811835e+002, 6.423570e+003
2.816656e+002, 6.418451e+003
2.821478e+002, 6.416562e+003
2.826299e+002, 6.418568e+003
2.831120e+002, 6.423157e+003
2.835941e+002, 6.428554e+003
2.840762e+002, 6.434815e+003
2.845583e+002, 6.441157e+003
2.850405e+002, 6.446956e+003
2.855226e+002, 6.452374e+003
2.860047e+002, 6.459266e+003
2.864868e+002, 6.467989e+003
2.869689e+002, 6.476990e+003
2.874510e+002, 6.483962e+003
2.879332e+002, 6.488978e+003
2.884153e+002, 6.493982e+003
2.888974e+002, 6.500127e+003
2.893795e+002, 6.506801e+003
2.898616e+002, 6.511077e+003
2.903438e+002, 6.512651e+003
2.908259e+002, 6.513812e+003
2.913080e+002, 6.517931e+003
2.917901e+002, 6.524274e+003
2.922722e+002, 6.528640e+003
2.927543e+002, 6.528805e+003
2.932365e+002, 6.526447e+003
2.937186e+002, 6.525544e+003
2.942007e+002, 6.526128e+003
2.946828e+002, 6.526828e+003
2.951649e+002, 6.525653e+003
2.956470e+002, 6.523467e+003
2.961292e+002, 6.523403e+003
2.966113e+002, 6.527604e+003
2.970934e+002, 6.532874e+003
2.975755e+002, 6.533208e+003
2.980576e+002, 6.529085e+003
2.985397e+002, 6.525459e+003
2.990219e+002, 6.525993e+003
2.995040e+002, 6.529713e+003
2.999861e+002, 6.534847e+003
3.004682e+002, 6.541829e+003
3.009503e+002, 6.548671e+003
3.014324e+002, 6.552923e+003
3.019146e+002, 6.554966e+003
3.023967e+002, 6.556403e+003
3.028788e+002, 6.557713e+003
3.033609e+002, 6.559214e+003
3.038430e+002, 6.561333e+003
3.043251e+002, 6.564165e+003
3.048073e+002, 6.567442e+003
3.052894e+002, 6.570513e+003
3.057715e+002, 6.573733e+003
3.062536e+002, 6.578128e+003
3.067357e+002, 6.585003e+003
3.072178e+002, 6.592718e+003
3.077000e+002, 6.599207e+003
3.081821e+002, 6.604057e+003
3.086642e+002, 6.609208e+003
3.091463e+002, 6.616931e+003
3.096284e+002, 6.625628e+003
3.101105e+002, 6.632969e+003
3.105927e+002, 6.637240e+003
3.110748e+002, 6.640157e+003
3.115569e+002, 6.642643e+003
3.120390e+002, 6.644755e+003
3.125211e+002, 6.647084e+003
3.130032e+002, 6.650333e+003
3.134854e+002, 6.653972e+003
3.139675e+002, 6.657400e+003
3.144496e+002, 6.660386e+003
3.149317e+002, 6.663315e+003
3.154138e+002, 6.667054e+003
3.158959e+002, 6.671333e+003
3.163781e+002, 6.674294e+003
3.168602e+002, 6.673695e+003
3.173423e+002, 6.672381e+003
3.178244e+002, 6.672479e+003
3.183065e+002, 6.675395e+003
3.187886e+002, 6.678485e+003
3.192708e+002, 6.680853e+003
3.197529e+002, 6.682698e+003
3.202350e+002, 6.684627e+003
3.207171e+002, 6.686525e+003
3.211992e+002, 6.688637e+003
3.216813e+002, 6.691017e+003
3.221635e+002, 6.693558e+003
3.226456e+002, 6.696366e+003
3.231277e+002, 6.700056e+003
3.236098e+002, 6.703829e+003
3.240919e+002, 6.706394e+003
3.245740e+002, 6.704849e+003
3.250562e+002, 6.704426e+003
3.255383e+002, 6.707508e+003
3.260204e+002, 6.715677e+003
3.265025e+002, 6.721323e+003
3.269846e+002, 6.720180e+003
3.274667e+002, 6.717923e+003
3.279489e+002, 6.720645e+003
3.284310e+002, 6.737540e+003
3.289131e+002, 6.749384e+003
3.293952e+002, 6.752415e+003
3.298773e+002, 6.746495e+003
3.303594e+002, 6.739700e+003
3.308416e+002, 6.729277e+003
3.313237e+002, 6.720433e+003
3.318058e+002, 6.717186e+003
3.322879e+002, 6.723577e+003
3.327700e+002, 6.728628e+003
3.332521e+002, 6.731019e+003
3.337343e+002, 6.731255e+003
3.342164e+002, 6.731948e+003
3.346985e+002, 6.733213e+003
3.351806e+002, 6.734571e+003
3.356627e+002, 6.735393e+003
3.361448e+002, 6.734623e+003
3.366270e+002, 6.736614e+003
3.371091e+002, 6.742464e+003
3.375912e+002, 6.750342e+003
3.380733e+002, 6.756617e+003
3.385554e+002, 6.760939e+003
3.390375e+002, 6.764718e+003
3.395197e+002, 6.768483e+003
3.400018e+002, 6.772236e+003
3.404839e+002, 6.775929e+003
3.409660e+002, 6.779556e+003
3.414481e+002, 6.782989e+003
3.419302e+002, 6.786171e+003
3.424124e+002, 6.789157e+003
3.428945e+002, 6.790940e+003
3.433766e+002, 6.790521e+003
3.438587e+002, 6.788648e+003
3.443408e+002, 6.788819e+003
3.448229e+002, 6.791104e+003
3.453051e+002, 6.794879e+003
3.457872e+002, 6.801201e+003
3.462693e+002, 6.809271e+003
3.467514e+002, 6.813487e+003
3.472335e+002, 6.811592e+003
3.477156e+002, 6.806733e+003
3.481978e+002, 6.804931e+003
3.486799e+002, 6.806062e+003
3.491620e+002, 6.807889e+003
3.496441e+002, 6.808623e+003
3.501262e+002, 6.809052e+003
3.506083e+002, 6.811250e+003
3.510905e+002, 6.815868e+003
3.515726e+002, 6.821008e+003
3.520547e+002, 6.823700e+003
3.525368e+002, 6.824913e+003
3.530189e+002, 6.827597e+003
3.535010e+002, 6.834355e+003
3.539832e+002, 6.842820e+003
3.544653e+002, 6.850865e+003
3.549474e+002, 6.858503e+003
3.554295e+002, 6.863808e+003
3.559116e+002, 6.862639e+003
3.563937e+002, 6.858676e+003
3.568759e+002, 6.857479e+003
3.573580e+002, 6.863572e+003
3.578401e+002, 6.870986e+003
3.583222e+002, 6.875535e+003
3.588043e+002, 6.877682e+003
3.592864e+002, 6.879905e+003
3.597686e+002, 6.883510e+003
3.602507e+002, 6.887797e+003
3.607328e+002, 6.892157e+003
3.612149e+002, 6.896604e+003
3.616970e+002, 6.900845e+003
3.621791e+002, 6.904663e+003
3.626613e+002, 6.908091e+003
3.631434e+002, 6.911276e+003
3.636255e+002, 6.914017e+003
3.641076e+002, 6.916593e+003
3.645897e+002, 6.918775e+003
3.650718e+002, 6.919856e+003
3.655540e+002, 6.922706e+003
3.660361e+002, 6.930325e+003
3.665182e+002, 6.939156e+003
3.670003e+002, 6.944947e+003
3.674824e+002, 6.945743e+003
3.679645e+002, 6.945121e+003
3.684467e+002, 6.943070e+003
3.689288e+002, 6.939595e+003
3.694109e+002, 6.938028e+003
3.698930e+002, 6.939844e+003
3.703751e+002, 6.942658e+003
3.708572e+002, 6.945002e+003
3.713394e+002, 6.947349e+003
3.718215e+002, 6.948417e+003
3.723036e+002, 6.946633e+003
3.727857e+002, 6.943537e+003
3.732678e+002, 6.944954e+003
3.737499e+002, 6.952962e+003
3.742321e+002, 6.961640e+003
3.747142e+002, 6.967815e+003
3.751963e+002, 6.970401e+003
