##NAMES=Walpurgite
##RRUFFID=R050573
##IDEAL CHEMISTRY=Bi^3+^_4_O_4_(U^6+^O_2_)(As^5+^O_4_)_2_&#183;2H_2_O
##LOCALITY=Joachimstal, Bohemia, Czech Republic
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Yellow thin tabular crystals associated with metazeunerite, R060301
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R050573
92.06543, 129.8885
92.54755, 132.4862
93.02966, 133.7442
93.51178, 130.1130
93.99390, 126.1866
94.47601, 123.2044
94.95813, 121.1268
95.44025, 119.3407
95.92236, 117.3210
96.40448, 114.9759
96.88660, 113.4375
97.36871, 113.2477
97.85082, 113.3607
98.33294, 113.1039
98.81506, 112.3230
99.29717, 111.1063
99.77929, 110.0286
100.2614, 109.1097
100.7435, 108.1618
101.2256, 106.8848
101.7078, 105.5141
102.1899, 104.6671
102.6720, 104.6254
103.1541, 104.9264
103.6362, 105.1133
104.1183, 105.1836
104.6005, 105.1882
105.0826, 105.1107
105.5647, 104.9159
106.0468, 104.8744
106.5289, 105.1266
107.0110, 105.4572
107.4931, 105.7991
107.9753, 106.1279
108.4574, 106.3648
108.9395, 106.3279
109.4216, 105.7252
109.9037, 105.2890
110.3858, 105.2141
110.8680, 105.2811
111.3501, 105.2292
111.8322, 104.9061
112.3143, 104.3879
112.7964, 104.1723
113.2785, 104.3476
113.7607, 104.6916
114.2428, 105.2709
114.7249, 105.9965
115.2070, 106.6506
115.6891, 107.0308
116.1712, 107.1601
116.6534, 107.5554
117.1355, 108.3388
117.6176, 109.2852
118.0997, 110.1708
118.5818, 110.9662
119.0639, 111.9316
119.5461, 113.3941
120.0282, 115.2366
120.5103, 117.1815
120.9924, 119.1596
121.4745, 121.1794
121.9566, 123.2213
122.4388, 125.0736
122.9209, 127.3140
123.4030, 130.2826
123.8851, 133.8793
124.3672, 137.8128
124.8493, 141.7956
125.3315, 145.8120
125.8136, 150.2187
126.2957, 154.9380
126.7778, 160.1469
127.2599, 166.1628
127.7420, 172.8960
128.2242, 179.9604
128.7063, 186.7831
129.1884, 193.2377
129.6705, 199.7473
130.1526, 206.6279
130.6347, 213.4045
131.1169, 219.6644
131.5990, 225.2843
132.0811, 230.4664
132.5632, 235.6346
133.0453, 240.7065
133.5274, 245.9111
134.0096, 251.1292
134.4917, 256.5114
134.9738, 262.2797
135.4559, 268.5843
135.9380, 275.2964
136.4201, 281.8781
136.9023, 288.1018
137.3844, 294.5239
137.8665, 301.6053
138.3486, 309.1705
138.8307, 316.4100
139.3128, 322.5992
139.7950, 328.2037
140.2771, 334.2787
140.7592, 341.2281
141.2413, 348.3379
141.7234, 354.8502
142.2055, 360.6360
142.6877, 366.3534
